Unnamed: 0,f__,f__Acetobacteraceae,f__Actinomycetaceae,f__Alcaligenaceae,f__Bacillaceae,f__Bacteroidaceae,f__Bifidobacteriaceae,f__Bradyrhizobiaceae,f__Burkholderiaceae,f__Campylobacteraceae,f__Cardiobacteriaceae,f__Carnobacteriaceae,f__Christensenellaceae,f__Clostridiaceae,f__Comamonadaceae,f__Coriobacteriaceae,f__Corynebacteriaceae,f__Deferribacteraceae,f__Desulfovibrionaceae,f__Dietziaceae,f__Enterobacteriaceae,f__Enterococcaceae,f__Erysipelotrichaceae,f__Eubacteriaceae,f__Fusobacteriaceae,f__Gemellaceae,f__Helicobacteraceae,f__Lachnospiraceae,f__Lactobacillaceae,f__Leptotrichiaceae,f__Leuconostocaceae,f__Methanobacteriaceae,f__Microbacteriaceae,f__Micrococcaceae,f__Moraxellaceae,f__Neisseriaceae,f__Oxalobacteraceae,f__Paenibacillaceae,f__Pasteurellaceae,f__Peptococcaceae,f__Peptostreptococcaceae,f__Planococcaceae,f__Porphyromonadaceae,f__Prevotellaceae,f__Pseudomonadaceae,f__Rhizobiaceae,f__Rikenellaceae,f__Ruminococcaceae,f__S24-7,f__Sinobacteraceae,f__Spirochaetaceae,f__Staphylococcaceae,f__Streptococcaceae,f__Turicibacteraceae,f__Veillonellaceae,f__Verrucomicrobiaceae,f__Victivallaceae,f__Xanthomonadaceae,f__[Barnesiellaceae],f__[Mogibacteriaceae],f__[Odoribacteraceae],f__[Paraprevotellaceae],f__[Tissierellaceae],f__[Weeksellaceae]
MSM5LLHI,27.0,0.0,0.0,250.0,0.0,367.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1333.0,2001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.0,13.0,0.0,23.0,0.0,34.0,0.0,0.0,0.0
MSM5FZ9V,932.0,0.0,0.0,0.0,0.0,7.0,13.0,0.0,0.0,88.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,328.0,0.0,5.0,0.0,0.0,0.0,0.0,8210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2072.0,0.0,0.0,0.0,0.0,174.0,0.0,0.0,0.0,4290.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,2360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSM5ZOJY,468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,3494.0,0.0,25.0,0.0,0.0,0.0,0.0,18441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,666.0,5392.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSM5MCV5,606.0,0.0,0.0,7147.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1154.0,0.0,0.0,0.0,0.0,19.0,0.0,9450.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSM5FZBU,1003.0,0.0,0.0,2114.0,0.0,106.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,4477.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,106.0,0.0,35.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,4665.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESM5MEBA,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSM5LLEX,14.0,0.0,1.0,3.0,0.0,22.0,16.0,0.0,0.0,0.0,0.0,2.0,0.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,2.0,0.0,79.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,23.0,1.0,0.0,0.0,0.0,41.0,2.0,518.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
HSM5FZBR,0.0,0.0,0.0,89.0,0.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,585.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESM5MEBQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESM5MEEA,591.0,0.0,0.0,689.0,0.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,928.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,795.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,12512.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
