Unnamed: 0,g__,g__AF12,g__Acidaminococcus,g__Acidocella,g__Acinetobacter,g__Actinobacillus,g__Actinomyces,g__Adlercreutzia,g__Aggregatibacter,g__Agrobacterium,g__Akkermansia,g__Allobaculum,g__Alloscardovia,g__Anaerofustis,g__Anaerostipes,g__Anaerotruncus,g__Atopobium,g__Bacillus,g__Bacteroides,g__Bifidobacterium,g__Bilophila,g__Blautia,g__Bradyrhizobium,g__Bulleidia,g__Burkholderia,g__Butyricimonas,g__CF231,g__Campylobacter,g__Cardiobacterium,g__Christensenella,g__Chryseobacterium,g__Citrobacter,g__Clostridium,g__Collinsella,g__Conchiformibius,g__Coprobacillus,g__Coprococcus,g__Corynebacterium,g__Cryocola,g__Desulfovibrio,g__Dialister,g__Dietzia,g__Dorea,g__Dysgonomonas,g__Eggerthella,g__Eikenella,g__Enterobacter,g__Enterococcus,g__Epulopiscium,g__Erwinia,g__Faecalibacterium,g__Flexispira,g__Fusobacterium,g__Granulicatella,g__Haemophilus,g__Helicobacter,g__Holdemania,g__Hydrogenophaga,g__Klebsiella,g__Lachnobacterium,g__Lachnospira,g__Lactobacillus,g__Lactococcus,g__Lautropia,g__Leptotrichia,g__Leuconostoc,g__Megasphaera,g__Methanobrevibacter,g__Morganella,g__Moryella,g__Mucispirillum,g__Neisseria,g__Odoribacter,g__Oribacterium,g__Oscillospira,g__Oxalobacter,g__Paenibacillus,g__Parabacteroides,g__Paraprevotella,g__Parvimonas,g__Pediococcus,g__Peptococcus,g__Peptoniphilus,g__Phascolarctobacterium,g__Porphyromonas,g__Prevotella,g__Proteus,g__Pseudomonas,g__Ralstonia,g__Roseburia,g__Rothia,g__Ruminococcus,g__Selenomonas,g__Serratia,g__Staphylococcus,g__Streptococcus,g__Sutterella,g__Treponema,g__Turicibacter,g__Vagococcus,g__Variovorax,g__Veillonella,g__WAL_1855D,g__YRC22,g__cc_115,g__ph2,g__[Eubacterium],g__[Prevotella],g__[Ruminococcus]
MSM5LLHI,1596,0,0,0,0,0,0,0,0,0,289,0,0,0,0,0,0,0,367,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0
MSM5FZ9V,8354,0,0,0,0,0,0,0,0,0,2360,0,0,0,0,0,0,0,7,13,0,0,0,0,0,0,0,88,0,0,0,0,91,0,0,0,22,0,0,0,0,0,117,0,0,0,0,0,0,0,2578,0,0,0,0,0,0,0,76,0,559,0,0,0,0,0,0,0,0,0,0,0,0,0,614,0,0,0,0,0,0,0,0,0,0,174,0,0,0,2666,0,405,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,503
MSM5ZOJY,15500,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,474,0,0,0,0,0,0,1584,0,0,0,0,0,0,12,0,0,0,2539,0,0,0,0,0,0,0,0,0,0,0,0,5,1224,0,0,0,0,0,0,0,0,0,0,12,162,0,0,7030,0,793,0,0,0,0,0,0,34,0,0,0,0,0,0,0,5,0,110
CSM5MCV5,11254,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,22,0,0,24,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,7,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,7147,0,0,0,0,0,0,0,0,0,0,0,12
HSM5FZBU,2830,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,106,43,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,6,4580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3183,0,0,0,0,0,0,2114,0,0,0,0,0,0,0,0,0,0,0,58
ESM5MEBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSM5LLEX,307,1,0,0,0,0,1,0,0,0,2,0,10,0,0,0,0,0,22,6,0,1,0,0,0,0,0,0,0,0,0,0,58,0,0,0,46,0,0,0,0,0,2,0,0,0,0,0,23,0,12,0,0,2,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,11,2,0,1,0,0,0,41,3,0,2,0,0,518,0,0,0,0,0,1,0
HSM5FZBR,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,585,0,0,0,0,0,11,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0
ESM5MEBQ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESM5MEEA,1621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,9,0,0,0,0,0,0,0,12360,0,0,0,687,0,0,0,29,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,689,0,9,0,0,0,0,0,0,0,0,0,0
