Unnamed: 0;g__;g__AF12;g__Acidaminococcus;g__Acidocella;g__Acinetobacter;g__Actinobacillus;g__Actinomyces;g__Adlercreutzia;g__Aggregatibacter;g__Agrobacterium;g__Akkermansia;g__Allobaculum;g__Alloscardovia;g__Anaerofustis;g__Anaerostipes;g__Anaerotruncus;g__Atopobium;g__Bacillus;g__Bacteroides;g__Bifidobacterium;g__Bilophila;g__Blautia;g__Bradyrhizobium;g__Bulleidia;g__Burkholderia;g__Butyricimonas;g__CF231;g__Campylobacter;g__Cardiobacterium;g__Christensenella;g__Chryseobacterium;g__Citrobacter;g__Clostridium;g__Collinsella;g__Conchiformibius;g__Coprobacillus;g__Coprococcus;g__Corynebacterium;g__Cryocola;g__Desulfovibrio;g__Dialister;g__Dietzia;g__Dorea;g__Dysgonomonas;g__Eggerthella;g__Eikenella;g__Enterobacter;g__Enterococcus;g__Epulopiscium;g__Erwinia;g__Eubacterium;g__Faecalibacterium;g__Flexispira;g__Fusobacterium;g__Granulicatella;g__Haemophilus;g__Helicobacter;g__Holdemania;g__Hydrogenophaga;g__Klebsiella;g__Lachnobacterium;g__Lachnospira;g__Lactobacillus;g__Lactococcus;g__Lautropia;g__Leptotrichia;g__Leuconostoc;g__Megasphaera;g__Methanobrevibacter;g__Morganella;g__Moryella;g__Mucispirillum;g__Neisseria;g__Odoribacter;g__Oribacterium;g__Oscillospira;g__Oxalobacter;g__Paenibacillus;g__Parabacteroides;g__Paraprevotella;g__Parvimonas;g__Pediococcus;g__Peptococcus;g__Peptoniphilus;g__Phascolarctobacterium;g__Porphyromonas;g__Prevotella;g__Proteus;g__Pseudomonas;g__Ralstonia;g__Roseburia;g__Rothia;g__Ruminococcus;g__Selenomonas;g__Serratia;g__Staphylococcus;g__Streptococcus;g__Sutterella;g__Treponema;g__Turicibacter;g__Vagococcus;g__Variovorax;g__Veillonella;g__WAL_1855D;g__YRC22;g__cc_115;g__ph2
MSM5LLHI;0.35569422776911075;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06440829061733898;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08179184310229552;0.0;0.0;0.0;0.0;0.0;0.0;0.007577445954981056;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3929128593715177;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.014263427679964342;0.0;0.0;0.0035658569199910855;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.024069534209939826;0.0;0.0;0.0;0.0;0.05571651437486071;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MSM5FZ9V;0.4482000107301894;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1266162347765438;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00037555662857449436;0.0006974623102097752;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004721283330650786;0.0;0.0;0.0;0.0;0.004882236171468426;0.0;0.0;0.0;0.0011803208326626965;0.0;0.0;0.0;0.0;0.0;0.006277160791887977;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13831214120929233;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004077471967380225;0.0;0.029990879339020334;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03294168142067708;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.009335264767423145;0.0;0.0;0.0;0.14303342453994314;0.0;0.04871505982080584;0.0;0.0;0.0;0.0;0.0;0.0;0.0006438113632705617;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MSM5ZOJY;0.5239318550567874;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0006422390481341265;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0018591130340724715;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0008788534342888048;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01602217414818821;0.0;0.0;0.0;0.0;0.0;0.0;0.053542455381287185;0.00016901027582477015;0.0;0.0;0.0;0.0;0.0;0.0;0.00040562466197944835;0.0;0.0;0.0;0.08582341806381828;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00016901027582477015;0.041373715521903734;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00040562466197944835;0.005475932936722553;0.0;0.0;0.23762844780962683;0.0;0.030523255813953487;0.0;0.0;0.0;0.0;0.0;0.0;0.001149269875608437;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSM5MCV5;0.6012394486590448;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0015493108238059622;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0011753392456459023;0.0;0.0;0.001282188267977348;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0024575275136232504;0.0;0.0;0.0;0.0;0.0;0.0;0.0010150657121487338;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00037397157816005983;0.0;0.007426007052035474;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0010150657121487338;0.0;0.0;0.0;0.0;0.000641094133988674;0.0;0.0;0.0;0.0;0.3818249813014211;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HSM5FZBU;0.2177258039698415;0.0;0.0;0.0;0.0010770887828896753;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.008155100784736113;0.003308201261732574;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0023849823049699953;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0014617633482074165;0.0;0.0;0.0;0.0;0.0;0.0;0.0004616094783812894;0.0;0.3523619018310509;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0010770887828896753;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.24488382828127403;0.0;0.004462224957685798;0.0;0.0;0.0;0.0;0.162640406216341;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ESM5MEBA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MSM5LLEX;0.2845227062094532;0.0009267840593141798;0.0;0.0;0.0;0.0;0.0009267840593141798;0.0;0.0;0.0;0.0018535681186283596;0.0;0.009267840593141797;0.0;0.0;0.0;0.0;0.0;0.020389249304911955;0.005560704355885079;0.0;0.0009267840593141798;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05375347544022243;0.0;0.0;0.0;0.042632066728452274;0.0;0.0;0.0;0.0;0.0;0.0018535681186283596;0.0;0.0;0.0;0.0;0.0;0.021316033364226137;0.0;0.0;0.011121408711770158;0.0;0.0;0.0018535681186283596;0.0009267840593141798;0.0;0.0;0.0;0.0;0.0;0.0;0.0037071362372567192;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0009267840593141798;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0018535681186283596;0.0;0.0;0.010194624652455977;0.0018535681186283596;0.0;0.0009267840593141798;0.0;0.0;0.0;0.037998146431881374;0.0027803521779425394;0.0;0.0018535681186283596;0.0;0.0;0.48007414272474513;0.0;0.0;0.0;0.0
HSM5FZBR;0.038183694530443756;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.17647058823529413;0.0;0.0030959752321981426;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0041279669762641896;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07120743034055728;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6037151702786377;0.0;0.0;0.0;0.0;0.0;0.011351909184726523;0.0;0.0;0.0;0.0;0.09184726522187822;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ESM5MEBQ;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ESM5MEEA;0.10147104851330203;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01784037558685446;0.0;0.0;0.0006885758998435055;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0005007824726134585;0.0;0.0;0.0;0.0;0.0;0.0005633802816901409;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7737089201877935;0.0;0.0;0.0;0.04300469483568075;0.0;0.0;0.0;0.001815336463223787;0.0;0.009765258215962441;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001189358372456964;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005758998435054773;0.0;0.0;0.0;0.0;0.0;0.0;0.04312989045383411;0.0;0.0005633802816901409;0.0;0.0;0.0;0.0;0.0;0.0;0.0
