Unnamed: 0,f__,f__0319-6A21,f__Acetobacteraceae,f__Acholeplasmataceae,f__Acidobacteriaceae,f__Actinomycetaceae,f__Actinosynnemataceae,f__Aerococcaceae,f__Aeromonadaceae,f__Alcaligenaceae,f__Alcanivoracaceae,f__Alicyclobacillaceae,f__Alteromonadaceae,f__Armatimonadaceae,f__BS11,f__Bacillaceae,f__Bacteroidaceae,f__Bartonellaceae,f__Beijerinckiaceae,f__Beutenbergiaceae,f__Bifidobacteriaceae,f__Bogoriellaceae,f__Bradyrhizobiaceae,f__Brevibacteriaceae,f__Brucellaceae,f__Burkholderiaceae,f__C111,f__Campylobacteraceae,f__Cardiobacteriaceae,f__Carnobacteriaceae,f__Caulobacteraceae,f__Cellulomonadaceae,f__Chitinophagaceae,f__Christensenellaceae,f__Clostridiaceae,f__Comamonadaceae,f__Coriobacteriaceae,f__Corynebacteriaceae,f__Cryomorphaceae,f__Cytophagaceae,f__Dehalobacteriaceae,f__Dermabacteraceae,f__Desulfobulbaceae,f__Desulfovibrionaceae,f__Dethiosulfovibrionaceae,f__Dietziaceae,f__EB1017,f__Ectothiorhodospiraceae,f__Ellin6075,f__Enterobacteriaceae,f__Enterococcaceae,f__Erysipelotrichaceae,f__Erythrobacteraceae,f__EtOH8,f__Eubacteriaceae,f__F16,f__Flavobacteriaceae,f__Fusobacteriaceae,f__Gaiellaceae,f__Gemellaceae,f__Geobacteraceae,f__Geodermatophilaceae,f__Halomonadaceae,f__Helicobacteraceae,f__Hyphomicrobiaceae,f__Hyphomonadaceae,f__Intrasporangiaceae,f__Isosphaeraceae,f__Koribacteraceae,f__Lachnospiraceae,f__Lactobacillaceae,f__Leptotrichiaceae,f__Leuconostocaceae,f__Listeriaceae,f__ML1228J-1,f__Methylobacteriaceae,f__Methylocystaceae,f__Methylophilaceae,f__Microbacteriaceae,f__Micrococcaceae,f__Micromonosporaceae,f__Moraxellaceae,f__Mycobacteriaceae,f__Mycoplasmataceae,f__Myxococcaceae,f__NB1-i,f__Neisseriaceae,f__Nitrospiraceae,f__Nocardiaceae,f__Nocardioidaceae,f__Nocardiopsaceae,f__Nostocaceae,f__OM27,f__Opitutaceae,f__Oxalobacteraceae,f__PRR-10,f__Paenibacillaceae,f__Pasteurellaceae,f__Patulibacteraceae,f__Peptococcaceae,f__Peptostreptococcaceae,f__Phormidiaceae,f__Phyllobacteriaceae,f__Pirellulaceae,f__Piscirickettsiaceae,f__Planctomycetaceae,f__Planococcaceae,f__Porphyromonadaceae,f__Prevotellaceae,f__Promicromonosporaceae,f__Propionibacteriaceae,f__Pseudomonadaceae,f__Pseudonocardiaceae,f__RF16,f__RFP12,f__Rhizobiaceae,f__Rhodobacteraceae,f__Rhodocyclaceae,f__Rhodospirillaceae,f__Rickettsiaceae,f__Rikenellaceae,f__Rs-045,f__Ruminococcaceae,f__S24-7,f__SB-1,f__Sinobacteraceae,f__Sphingobacteriaceae,f__Sphingomonadaceae,f__Spirochaetaceae,f__Staphylococcaceae,f__Streptococcaceae,f__Streptomycetaceae,f__Streptosporangiaceae,f__Succinivibrionaceae,f__Synechococcaceae,f__Synergistaceae,f__Syntrophobacteraceae,f__Thermaceae,f__Thermoactinomycetaceae,f__Trueperaceae,f__Turicibacteraceae,f__Veillonellaceae,f__Verrucomicrobiaceae,f__Vibrionaceae,f__Victivallaceae,f__Xanthobacteraceae,f__Xanthomonadaceae,f__Yaniellaceae,f__mitochondria,f__[Barnesiellaceae],f__[Cerasicoccaceae],f__[Chromatiaceae],f__[Exiguobacteraceae],f__[Mogibacteriaceae],f__[Odoribacteraceae],f__[Paraprevotellaceae],f__[Tissierellaceae],f__[Weeksellaceae]
EP957861_K150_BRCD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
EP426527_K60_BS1D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21666,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51682,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EP198705_K230_BRCD,63920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21411,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,1425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EP604653_K40_MRCD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
EP323428_K60_BS1D,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EP492355_K50_MRCD,218,0,0,0,0,423,0,0,0,0,0,0,0,0,0,0,2105,0,0,0,587,0,0,0,0,0,0,953,0,0,0,0,0,1,578,0,458,3,0,0,0,0,0,0,8,0,0,0,0,284,0,59,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,512,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,39,0,0,0,0,0,0,192,30172,0,0,0,0,0,0,0,0,0,0,0,109,0,2941,993,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,2,2697,0,0,0,0,0,0,0,0,0,0,0,24,0,0,1516,0
EP492355_K10_MRCD,61,0,0,0,0,173,0,21,0,0,0,0,0,0,0,0,7,0,0,0,880,0,0,0,0,0,0,251,0,1,0,0,0,0,1303,0,650,234,0,0,0,0,0,0,71,0,0,0,0,15,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29,248,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21,114,0,0,0,0,0,0,1,0,0,0,0,2,2,28,9,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,510,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4332,0
EP288001_K70_BRCD,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2638,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
EP120862_K260_BRCD,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76530,995,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,37,1,0,0,0,1,0,0,0,0,0,147,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EP500700_K20_MRCD,978,0,0,0,0,708,0,2,0,3164,0,0,0,0,0,0,15066,0,0,0,426,0,0,0,0,0,0,1588,0,0,0,0,0,3,271,1,936,216,0,0,0,0,0,0,0,0,0,0,0,123,0,170,0,0,0,0,0,27,0,1,0,1,0,0,0,0,0,0,0,3468,32,40,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,0,0,0,0,0,0,2343,4827,0,0,0,0,0,0,0,0,0,0,0,235,0,7283,213,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,1,1052,0,0,0,0,0,0,0,0,0,0,0,8,0,1,828,0
