Unnamed: 0;f__;f__0319-6A21;f__Acetobacteraceae;f__Acholeplasmataceae;f__Acidobacteriaceae;f__Actinomycetaceae;f__Actinosynnemataceae;f__Aerococcaceae;f__Aeromonadaceae;f__Alcaligenaceae;f__Alcanivoracaceae;f__Alicyclobacillaceae;f__Alteromonadaceae;f__Armatimonadaceae;f__BS11;f__Bacillaceae;f__Bacteroidaceae;f__Barnesiellaceae;f__Bartonellaceae;f__Beijerinckiaceae;f__Beutenbergiaceae;f__Bifidobacteriaceae;f__Bogoriellaceae;f__Bradyrhizobiaceae;f__Brevibacteriaceae;f__Brucellaceae;f__Burkholderiaceae;f__C111;f__Campylobacteraceae;f__Cardiobacteriaceae;f__Carnobacteriaceae;f__Caulobacteraceae;f__Cellulomonadaceae;f__Cerasicoccaceae;f__Chitinophagaceae;f__Christensenellaceae;f__Chromatiaceae;f__Clostridiaceae;f__Comamonadaceae;f__Coriobacteriaceae;f__Corynebacteriaceae;f__Cryomorphaceae;f__Cytophagaceae;f__Dehalobacteriaceae;f__Dermabacteraceae;f__Desulfobulbaceae;f__Desulfovibrionaceae;f__Dethiosulfovibrionaceae;f__Dietziaceae;f__EB1017;f__Ectothiorhodospiraceae;f__Ellin6075;f__Enterobacteriaceae;f__Enterococcaceae;f__Erysipelotrichaceae;f__Erythrobacteraceae;f__EtOH8;f__Eubacteriaceae;f__Exiguobacteraceae;f__F16;f__Flavobacteriaceae;f__Fusobacteriaceae;f__Gaiellaceae;f__Gemellaceae;f__Geobacteraceae;f__Geodermatophilaceae;f__Halomonadaceae;f__Helicobacteraceae;f__Hyphomicrobiaceae;f__Hyphomonadaceae;f__Intrasporangiaceae;f__Isosphaeraceae;f__Koribacteraceae;f__Lachnospiraceae;f__Lactobacillaceae;f__Leptotrichiaceae;f__Leuconostocaceae;f__Listeriaceae;f__ML1228J-1;f__Methylobacteriaceae;f__Methylocystaceae;f__Methylophilaceae;f__Microbacteriaceae;f__Micrococcaceae;f__Micromonosporaceae;f__Mogibacteriaceae;f__Moraxellaceae;f__Mycobacteriaceae;f__Mycoplasmataceae;f__Myxococcaceae;f__NB1-i;f__Neisseriaceae;f__Nitrospiraceae;f__Nocardiaceae;f__Nocardioidaceae;f__Nocardiopsaceae;f__Nostocaceae;f__OM27;f__Odoribacteraceae;f__Opitutaceae;f__Oxalobacteraceae;f__PRR-10;f__Paenibacillaceae;f__Paraprevotellaceae;f__Pasteurellaceae;f__Patulibacteraceae;f__Peptococcaceae;f__Peptostreptococcaceae;f__Phormidiaceae;f__Phyllobacteriaceae;f__Pirellulaceae;f__Piscirickettsiaceae;f__Planctomycetaceae;f__Planococcaceae;f__Porphyromonadaceae;f__Prevotellaceae;f__Promicromonosporaceae;f__Propionibacteriaceae;f__Pseudomonadaceae;f__Pseudonocardiaceae;f__RF16;f__RFP12;f__Rhizobiaceae;f__Rhodobacteraceae;f__Rhodocyclaceae;f__Rhodospirillaceae;f__Rickettsiaceae;f__Rikenellaceae;f__Rs-045;f__Ruminococcaceae;f__S24-7;f__SB-1;f__Sinobacteraceae;f__Sphingobacteriaceae;f__Sphingomonadaceae;f__Spirochaetaceae;f__Staphylococcaceae;f__Streptococcaceae;f__Streptomycetaceae;f__Streptosporangiaceae;f__Succinivibrionaceae;f__Synechococcaceae;f__Synergistaceae;f__Syntrophobacteraceae;f__Thermaceae;f__Thermoactinomycetaceae;f__Tissierellaceae;f__Trueperaceae;f__Turicibacteraceae;f__Veillonellaceae;f__Verrucomicrobiaceae;f__Vibrionaceae;f__Victivallaceae;f__Weeksellaceae;f__Xanthobacteraceae;f__Xanthomonadaceae;f__Yaniellaceae;f__mitochondria
EP957861_K150_BRCD;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11538461538461539;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.038461538461538464;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.038461538461538464;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.038461538461538464;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11538461538461539;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5384615384615384;0.0;0.0;0.07692307692307693;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.038461538461538464;0.0;0.0
EP426527_K60_BS1D;1.3550686342263236e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.29358917029147524;0.0;0.0;0.0;0.0;1.3550686342263236e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7003265715408485;5.4202745369052945e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00010840549073810589;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3550686342263236e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0652059026789705e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3550686342263236e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005745491009119612;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.130411805357941e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EP198705_K230_BRCD;0.7362528507913105;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.1518348729526136e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2466193646478841;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.303669745905227e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.303669745905227e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000253403672049575;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.4555046188578404e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.303669745905227e-05;0.0;0.0;0.0;0.0;0.0;2.303669745905227e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.1518348729526136e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00031099541569720566;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01641364693957474;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EP604653_K40_MRCD;0.007575757575757576;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.015151515151515152;0.0;0.0;0.0;0.0;0.03787878787878788;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.17424242424242425;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007575757575757576;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05303030303030303;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007575757575757576;0.045454545454545456;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.30303030303030304;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06818181818181818;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14393939393939395;0.0;0.0;0.13636363636363635;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EP323428_K60_BS1D;0.011235955056179775;0.0;0.0;0.0;0.02247191011235955;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011235955056179775;0.0;0.0;0.0;0.0;0.011235955056179775;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011235955056179775;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011235955056179775;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011235955056179775;0.8651685393258427;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011235955056179775;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011235955056179775;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011235955056179775;0.0;0.011235955056179775;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EP492355_K50_MRCD;0.004803984221776593;0.0;0.0;0.0;0.0;0.009321492320236232;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.046387095352475816;0.0;0.0;0.0;0.0;0.012935498799003945;0.0;0.0;0.0;0.0;0.0;0.0;0.02100090350161969;0.0;0.0;0.0;0.0;0.0;0.0;2.203662487053483e-05;0.0;0.01273716917516913;0.0;0.010092774190704952;6.610987461160448e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.00017629299896427863;0.0;0.0;0.0;0.0;0.0062584014632318915;0.0;0.0013001608673615548;0.0;0.0;0.0;0.0;0.0;0.0;6.610987461160448e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011282751933713833;0.006897463584477402;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0005288789968928358;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.407324974106966e-05;0.0;0.0;0.0008594283699508583;0.0;0.0;0.0;0.0;0.0;0.0;0.004231031975142687;0.6648890455937768;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0024019921108882963;0.0;0.06480971374424294;0.021882368496441085;0.0;0.0;0.0;0.0;0.0;0.0;0.004120848850790013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0334075233037308;0.0;4.407324974106966e-05;0.05943277727583243;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EP492355_K10_MRCD;0.006786071865613527;0.0;0.0;0.0;0.0;0.01924574479919902;0.0;0.00233618867504728;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0007787295583490933;0.0;0.0;0.0;0.0;0.09789743019245745;0.0;0.0;0.0;0.0;0.0;0.0;0.027923017020803204;0.0;0.00011124707976415619;0.0;0.0;0.0;0.0;0.0;0.0;0.1449549449326955;0.0;0.07231060184670153;0.026031816664812548;0.0;0.0;0.0;0.0;0.0;0.0;0.00789854266325509;0.0;0.0;0.0;0.0;0.0016687061964623428;0.0;0.00011124707976415619;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00011124707976415619;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0032261653131605296;0.027589275781510735;0.0010012237178774056;0.0;0.0;0.0;0.00011124707976415619;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00011124707976415619;0.0;0.0;0.0;0.0;0.0;0.00011124707976415619;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00233618867504728;0.012682167093113806;0.0;0.0;0.0;0.0;0.0;0.0;0.00011124707976415619;0.0;0.0;0.0;0.0;0.00022249415952831238;0.00022249415952831238;0.0031149182333963733;0.0010012237178774056;0.0;0.0;0.0;0.0;0.0;0.0;0.0013349649571698743;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.48192234953832463;0.0;0.0;0.05673601067971966;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EP288001_K70_BRCD;0.0701982450438739;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00032499187520311994;0.0;0.0;0.0;0.0;0.00032499187520311994;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8573285667858304;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0016249593760155996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06662333441663959;0.00032499187520311994;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0016249593760155996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0009749756256093598;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00032499187520311994;0.0;0.0;0.00032499187520311994;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EP120862_K260_BRCD;6.258683923944473e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.755210354366684e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007084830201905143;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9579541613989411;0.012454781008649501;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.2517367847888946e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000463142610371891;1.2517367847888946e-05;0.0;0.0;0.0;1.2517367847888946e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.001840053073639675;0.0;0.0;0.0;0.0;0.0009388025885916709;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01602223084529785;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.755210354366684e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.003066755122732792;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EP500700_K20_MRCD;0.022171843119474042;0.0;0.0;0.0;0.0;0.016050782135570166;0.0;4.534119247336205e-05;0.0;0.07172976649285877;0.0;0.0;0.0;0.0;0.0;0.0;0.34155520290183633;0.0;0.0;0.0;0.0;0.009657673996826117;0.0;0.0;0.0;0.0;0.0;0.0;0.03600090682384947;0.0;0.0;0.0;0.0;0.0;0.0;6.801178871004307e-05;0.0;0.0061437315801405575;2.2670596236681024e-05;0.02121967807753344;0.004896848787123102;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002788483337111766;0.0;0.003854001360235774;0.0;0.0;0.0;0.0;0.0;0.0;0.0006121060983903877;0.0;2.2670596236681024e-05;0.0;2.2670596236681024e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07862162774880979;0.0007254590795737928;0.000906823849467241;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.801178871004307e-05;0.0;0.0001813647698934482;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.2670596236681024e-05;2.2670596236681024e-05;0.0;0.0;0.00031738834731353437;0.0;0.0;0.0;0.0;0.0;0.0;0.053117206982543644;0.1094309680344593;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0053275901156200406;0.0;0.16510995239174792;0.004828836998413058;0.0;0.0;0.0;0.0;0.0;0.0;0.001813647698934482;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.018771253683971888;0.0;2.2670596236681024e-05;0.023849467240988437;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
