Unnamed: 0,o__,o__32-20,o__ASSO-13,o__Acholeplasmatales,o__Acidimicrobiales,o__Acidobacteriales,o__Actinomycetales,o__Aeromonadales,o__Alteromonadales,o__Armatimonadales,o__BD7-3,o__Bacillales,o__Bacteroidales,o__Bifidobacteriales,o__Burkholderiales,o__CW040,o__Campylobacterales,o__Cardiobacteriales,o__Caulobacterales,o__Chlorophyta,o__Chromatiales,o__Clostridiales,o__Coriobacteriales,o__Cytophagales,o__DS-18,o__Deinococcales,o__Desulfobacterales,o__Desulfovibrionales,o__Desulfuromonadales,o__EW055,o__Ellin329,o__Ellin6067,o__Ellin6513,o__Enterobacteriales,o__Erysipelotrichales,o__Flavobacteriales,o__Fusobacteriales,o__Gaiellales,o__Gemellales,o__Gemmatales,o__Herpetosiphonales,o__I025,o__JG30-KF-CM45,o__LD1-PA13,o__Lactobacillales,o__ML615J-28,o__MLE1-12,o__MND1,o__Methylophilales,o__Mycoplasmatales,o__Myxococcales,o__NB1-j,o__Natranaerobiales,o__Neisseriales,o__Nitrospirales,o__Nostocales,o__Oceanospirillales,o__Opitutales,o__Oscillatoriales,o__PYR10d3,o__Pasteurellales,o__Pirellulales,o__Planctomycetales,o__Pseudomonadales,o__RB41,o__RF32,o__RF39,o__Rhizobiales,o__Rhodobacterales,o__Rhodocyclales,o__Rhodospirillales,o__Rickettsiales,o__SC-I-84,o__SHA-98,o__SJA-15,o__SJA-36,o__Sediment-1,o__Solibacterales,o__Solirubrobacterales,o__Sphingobacteriales,o__Sphingomonadales,o__Spirochaetales,o__Stramenopiles,o__Streptophyta,o__Synechococcales,o__Synergistales,o__Syntrophobacterales,o__Thermales,o__Thiotrichales,o__Turicibacterales,o__Verrucomicrobiales,o__Vibrionales,o__Victivallales,o__WCHB1-41,o__WD2101,o__Xanthomonadales,o__YS2,o__envOPS12,o__iii1-15,o__[Cerasicoccales],o__[Pedosphaerales],o__[Saprospirales]
EP957861_K150_BRCD,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
EP426527_K60_BS1D,0,0,0,0,0,0,1,0,0,0,0,1,22090,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51682,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EP198705_K230_BRCD,63919,0,0,0,0,0,22,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1426,0,0,0,0,0,0,0,0,0,0,0,21411,0,0,2,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EP604653_K40_MRCD,0,0,0,0,0,0,23,0,0,0,0,1,9,5,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EP323428_K60_BS1D,0,0,0,0,0,2,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EP492355_K50_MRCD,0,0,0,0,0,0,426,0,0,0,0,2,33571,587,0,0,953,0,0,0,0,8524,458,0,0,0,0,0,0,0,0,0,0,284,59,0,3,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
EP492355_K10_MRCD,0,0,0,0,0,0,407,0,0,0,0,3,154,880,0,0,251,0,0,0,0,6260,650,0,0,0,0,0,0,0,0,0,0,15,1,0,9,0,1,0,0,2,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EP288001_K70_BRCD,0,0,0,0,0,0,2638,0,0,0,0,221,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EP120862_K260_BRCD,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,811,0,0,0,0,0,0,0,0,0,0,0,76530,0,0,1,0,1,0,0,0,0,0,1035,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,1280,0,0,147,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EP500700_K20_MRCD,2,0,0,0,0,0,928,0,0,0,0,3,22705,426,3165,0,1588,0,0,0,0,13880,936,0,0,0,0,0,0,0,0,0,0,123,170,0,67,0,1,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
