Unnamed: 0;o__;o__32-20;o__ASSO-13;o__Acholeplasmatales;o__Acidimicrobiales;o__Acidobacteriales;o__Actinomycetales;o__Aeromonadales;o__Alteromonadales;o__Armatimonadales;o__BD7-3;o__Bacillales;o__Bacteroidales;o__Bifidobacteriales;o__Burkholderiales;o__CW040;o__Campylobacterales;o__Cardiobacteriales;o__Caulobacterales;o__Cerasicoccales;o__Chlorophyta;o__Chromatiales;o__Clostridiales;o__Coriobacteriales;o__Cytophagales;o__DS-18;o__Deinococcales;o__Desulfobacterales;o__Desulfovibrionales;o__Desulfuromonadales;o__EW055;o__Ellin329;o__Ellin6067;o__Ellin6513;o__Enterobacteriales;o__Erysipelotrichales;o__Flavobacteriales;o__Fusobacteriales;o__Gaiellales;o__Gemellales;o__Gemmatales;o__Herpetosiphonales;o__I025;o__JG30-KF-CM45;o__LD1-PA13;o__Lactobacillales;o__ML615J-28;o__MLE1-12;o__MND1;o__Methylophilales;o__Mycoplasmatales;o__Myxococcales;o__NB1-j;o__Natranaerobiales;o__Neisseriales;o__Nitrospirales;o__Nostocales;o__Oceanospirillales;o__Opitutales;o__Oscillatoriales;o__PYR10d3;o__Pasteurellales;o__Pedosphaerales;o__Pirellulales;o__Planctomycetales;o__Pseudomonadales;o__RB41;o__RF32;o__RF39;o__Rhizobiales;o__Rhodobacterales;o__Rhodocyclales;o__Rhodospirillales;o__Rickettsiales;o__SC-I-84;o__SHA-98;o__SJA-15;o__SJA-36;o__Saprospirales;o__Sediment-1;o__Solibacterales;o__Solirubrobacterales;o__Sphingobacteriales;o__Sphingomonadales;o__Spirochaetales;o__Stramenopiles;o__Streptophyta;o__Synechococcales;o__Synergistales;o__Syntrophobacterales;o__Thermales;o__Thiotrichales;o__Turicibacterales;o__Verrucomicrobiales;o__Vibrionales;o__Victivallales;o__WCHB1-41;o__WD2101;o__Xanthomonadales;o__YS2;o__envOPS12;o__iii1-15
EP957861_K150_BRCD;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23076923076923078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.038461538461538464;0.0;0.0;0.038461538461538464;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11538461538461539;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5384615384615384;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.038461538461538464;0.0;0.0;0.0
EP426527_K60_BS1D;0.0;0.0;0.0;0.0;0.0;0.0;1.3550686342263236e-05;0.0;0.0;0.0;0.0;1.3550686342263236e-05;0.2993346613005949;1.3550686342263236e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7003265715408485;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00024391235416073824;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0652059026789705e-05;0.0;0.0;0.0;0.0;0.0;0.0;1.3550686342263236e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EP198705_K230_BRCD;0.736241332442581;0.0;0.0;0.0;0.0;0.0;0.000253403672049575;0.0;0.0;0.0;0.0;1.1518348729526136e-05;2.303669745905227e-05;1.1518348729526136e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.016425165288304268;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2466193646478841;0.0;0.0;2.303669745905227e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0003340321131562579;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.4555046188578404e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.303669745905227e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EP604653_K40_MRCD;0.0;0.0;0.0;0.0;0.0;0.0;0.17424242424242425;0.0;0.0;0.0;0.0;0.007575757575757576;0.06818181818181818;0.03787878787878788;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5833333333333334;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007575757575757576;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.12121212121212122;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EP323428_K60_BS1D;0.0;0.0;0.0;0.0;0.0;0.02247191011235955;0.0;0.0;0.0;0.0;0.0;0.011235955056179775;0.033707865168539325;0.011235955056179775;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02247191011235955;0.011235955056179775;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011235955056179775;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8651685393258427;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011235955056179775;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EP492355_K50_MRCD;0.0;0.0;0.0;0.0;0.0;0.0;0.009387602194847838;0.0;0.0;0.0;0.0;4.407324974106966e-05;0.7397915335287247;0.012935498799003945;0.0;0.0;0.02100090350161969;0.0;0.0;0.0;0.0;0.0;0.18784019039643887;0.010092774190704952;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0062584014632318915;0.0013001608673615548;0.0;6.610987461160448e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011018312435267415;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.407324974106966e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00017629299896427863;0.0;0.0;0.0;4.407324974106966e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EP492355_K10_MRCD;0.0;0.0;0.0;0.0;0.0;0.0;0.04527756146401157;0.0;0.0;0.0;0.0;0.0003337412392924686;0.017132050283680055;0.09789743019245745;0.0;0.0;0.027923017020803204;0.0;0.0;0.0;0.0;0.0;0.6964067193236178;0.07231060184670153;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0016687061964623428;0.00011124707976415619;0.0;0.0010012237178774056;0.0;0.00011124707976415619;0.0;0.0;0.00022249415952831238;0.0;0.0;0.03137167649349205;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00011124707976415619;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00022249415952831238;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00789854266325509;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EP288001_K70_BRCD;0.0;0.0;0.0;0.0;0.0;0.0;0.8573285667858304;0.0;0.0;0.0;0.0;0.0718232044198895;0.00032499187520311994;0.00032499187520311994;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0006499837504062399;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0016249593760155996;0.0;0.0;0.00032499187520311994;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06759831004224895;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EP120862_K260_BRCD;6.258683923944473e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.755210354366684e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010151585324637936;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9579541613989411;0.0;0.0;1.2517367847888946e-05;0.0;1.2517367847888946e-05;0.0;0.0;0.0;0.0;0.0;0.01295547572256506;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0009388025885916709;0.0;0.0;0.0;0.0;0.0;0.0;0.01602223084529785;0.0;0.0;0.0;0.001840053073639675;0.0;0.0;0.0;1.2517367847888946e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EP500700_K20_MRCD;4.534119247336205e-05;0.0;0.0;0.0;0.0;0.0;0.02103831330763999;0.0;0.0;0.0;0.0;6.801178871004307e-05;0.5147358875538427;0.009657673996826117;0.07175243708909544;0.0;0.03600090682384947;0.0;0.0;0.0;0.0;0.0;0.3146678757651326;0.02121967807753344;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002788483337111766;0.003854001360235774;0.0;0.0015189299478576286;0.0;2.2670596236681024e-05;0.0;0.0;0.0;0.0;0.0;0.002584447970981637;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.2670596236681024e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.2670596236681024e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EP889264_K10_MRCD;0.0005125051250512505;0.0;0.0;0.0;0.0;0.0;0.0018193931939319394;0.0;0.0;0.0;0.0;2.5625256252562524e-05;0.5543511685116851;0.0022806478064780647;0.017630176301763018;0.0;0.005714432144321443;0.0;0.0;0.0;0.0;0.0;0.35608856088560886;0.007636326363263632;0.0;0.0;0.0;0.0;0.007841328413284132;0.0;0.0;0.0;0.0;0.0;0.003254407544075441;0.03190344403444034;0.0;0.0;0.0;0.0;0.0;0.0;0.0002050020500205002;0.0;0.0;0.0029469044690446904;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.687576875768758e-05;0.0;0.0007175071750717508;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0002050020500205002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.125051250512505e-05;0.0;0.0;0.0;0.003254407544075441;0.0023575235752357525;0.0;0.001076260762607626;0.0;0.0;5.125051250512505e-05;0.0;0.0;0.0
