Unnamed: 0,f__,f__Acetobacteraceae,f__Acidobacteriaceae,f__Actinomycetaceae,f__Aerococcaceae,f__Aeromonadaceae,f__Alcaligenaceae,f__Alicyclobacillaceae,f__Anaeroplasmataceae,f__Aquificaceae,f__BS11,f__Bacillaceae,f__Bacteroidaceae,f__Beijerinckiaceae,f__Bifidobacteriaceae,f__Brachyspiraceae,f__Bradyrhizobiaceae,f__Brevibacteriaceae,f__Brucellaceae,f__Burkholderiaceae,f__Campylobacteraceae,f__Cardiobacteriaceae,f__Carnobacteriaceae,f__Caulobacteraceae,f__Chitinophagaceae,f__Christensenellaceae,f__Clostridiaceae,f__Comamonadaceae,f__Coriobacteriaceae,f__Corynebacteriaceae,f__Cytophagaceae,f__Dehalobacteriaceae,f__Deinococcaceae,f__Dermabacteraceae,f__Desulfovibrionaceae,f__Dethiosulfovibrionaceae,f__Dietziaceae,f__Ellin6075,f__Enterobacteriaceae,f__Enterococcaceae,f__Erysipelotrichaceae,f__Erythrobacteraceae,f__EtOH8,f__Eubacteriaceae,f__F16,f__Flavobacteriaceae,f__Fusobacteriaceae,f__Gemellaceae,f__Geodermatophilaceae,f__Gordoniaceae,f__Halanaerobiaceae,f__Halomonadaceae,f__Helicobacteraceae,f__Hyphomicrobiaceae,f__Iamiaceae,f__Intrasporangiaceae,f__Kineosporiaceae,f__Lachnospiraceae,f__Lactobacillaceae,f__Leptotrichiaceae,f__Leuconostocaceae,f__Listeriaceae,f__Methylobacteriaceae,f__Microbacteriaceae,f__Micrococcaceae,f__Moraxellaceae,f__Neisseriaceae,f__Nitrospiraceae,f__Nocardiaceae,f__Nocardioidaceae,f__Oxalobacteraceae,f__Paenibacillaceae,f__Pasteurellaceae,f__Peptococcaceae,f__Peptostreptococcaceae,f__Phyllobacteriaceae,f__Planococcaceae,f__Porphyromonadaceae,f__Prevotellaceae,f__Propionibacteriaceae,f__Pseudomonadaceae,f__Pseudonocardiaceae,f__RF16,f__Rhizobiaceae,f__Rhodobacteraceae,f__Rhodocyclaceae,f__Rhodospirillaceae,f__Rikenellaceae,f__Rs-045,f__Ruminococcaceae,f__S24-7,f__Shewanellaceae,f__Sinobacteraceae,f__Sphingobacteriaceae,f__Sphingomonadaceae,f__Spirochaetaceae,f__Sporichthyaceae,f__Staphylococcaceae,f__Streptococcaceae,f__Succinivibrionaceae,f__Synergistaceae,f__Turicibacteraceae,f__Veillonellaceae,f__Verrucomicrobiaceae,f__Victivallaceae,f__Xanthobacteraceae,f__Xanthomonadaceae,f__mitochondria,f__[Barnesiellaceae],f__[Cerasicoccaceae],f__[Mogibacteriaceae],f__[Odoribacteraceae],f__[Paraprevotellaceae],f__[Tissierellaceae],f__[Weeksellaceae]
HMP2_J45093_1_ST_T0_B0_0120_ZW61YGW-06_APAJ2,567,0,0,0,0,0,213,0,0,0,0,0,10744,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,12,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1311,0,0,0,0,0,0,0,0,0,212,0,2438,0,0,0,0,0,0,0,0,1,0,0,0,143,0,0,0,0,0,0,0,2,76,0,0,0
HMP2_J45205_1_ST_T0_B0_0120_ZOZOW1T-4026-1_APATM,1033,0,0,1,0,0,138,0,0,0,0,0,3486,0,0,0,0,0,0,0,0,0,0,0,0,98,302,0,34,0,0,1,0,0,6,3,0,0,0,0,11,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,163,0,0,0,0,0,0,0,0,0,449,0,3400,5,0,0,0,0,0,0,0,2,0,0,4,112,0,172,0,0,0,33,0,7,48,77,0,0
HMP2_J43806_1_ST_T0_B0_0120_ZLZNCLZ-10_ANBEN,649,0,0,1,0,0,271,0,0,0,0,0,4516,0,0,0,0,0,0,0,0,0,0,0,0,2,74,0,13,0,0,0,0,0,0,0,0,0,4,0,95,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,1106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,151,1,0,0,0,0,0,0,0,0,102,0,1218,0,0,0,0,0,0,0,0,5,0,0,34,71,0,0,0,0,0,95,0,12,6,0,2,0
HMP2_J79935_1_ST_T0_B0_0120_ZOBX723-05_B64B9,3820,0,0,1,0,0,6,0,0,0,0,0,4224,0,0,0,0,0,0,0,0,0,0,0,0,301,42,0,547,0,0,0,0,0,4,0,0,0,4,0,48,0,7,1,0,0,3,0,0,0,7,0,0,0,0,0,0,1595,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,2,0,0,604,0,0,0,0,0,0,0,0,0,856,0,6623,399,0,0,0,0,0,0,0,6,0,2,16,18,0,6,0,0,0,61,0,4,452,0,0,0
HMP2_J45549_1_ST_T0_B0_0120_ZN9YTFN-6025_APA62,1120,0,0,0,0,0,126,0,0,0,0,0,1442,0,0,0,0,0,0,0,0,0,0,0,0,1,79,0,99,0,0,0,0,0,0,2,0,0,9,3,36,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,4588,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,8,0,0,14,24196,0,0,0,5,0,0,0,0,155,0,7709,0,0,0,0,0,0,0,0,55,0,0,8,1221,0,0,0,0,0,0,0,28,12,1,3,0
HMP2_J45226_1_ST_T0_B0_0120_ZOZOW1T-6034A_APATM,1190,0,0,0,0,0,67,0,0,0,0,0,2890,0,0,0,0,0,0,0,1,0,0,0,0,66,26,0,47,0,0,0,0,0,3,0,0,0,1,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,109,3,0,0,0,0,0,0,0,0,175,0,2481,2,0,0,0,0,0,0,0,1,0,0,2,97,17,132,0,0,0,24,0,1,36,125,4,0
HMP2_J79794_1_ST_T0_B0_0120_ZUPAQVU-09_B64B9,502,0,0,0,0,0,110,0,0,0,0,0,17343,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,33,0,0,0,0,0,0,0,0,0,1,0,34,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,232,1,0,0,0,0,0,0,0,0,864,0,3646,1,0,0,0,0,0,0,0,2,0,0,1,61,5,0,0,0,0,3,0,2,14,0,0,0
HMP2_J09111_1_ST_T0_B0_0122_ZKFV71L-05X_AAH7B,6885,0,0,10,1,0,786,0,0,0,0,0,11116,0,0,0,0,0,0,0,1,0,4,0,0,322,682,1,371,3,0,0,0,0,23,0,0,0,10,0,386,0,0,0,0,0,0,4,0,0,15,0,0,0,0,0,0,6299,0,0,1,0,0,1,2,1,0,0,0,0,25,0,36,61,1,0,0,843,0,2,0,0,0,0,0,0,0,1772,0,15946,2158,0,0,0,0,0,0,1,182,0,0,14,439,2892,0,0,0,1,70,0,45,190,0,0,0
HMP2_J00827_1_ST_T0_B0_0120_ZN9YTFN-1012_AA31J,1096,0,0,1,0,0,254,0,0,0,0,0,4974,0,10,0,0,0,0,0,0,0,0,0,0,22,342,0,231,1,0,0,0,0,96,0,0,0,65,18,127,0,12,0,0,0,6,1,0,0,71,0,0,0,0,0,0,1888,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,1,161,0,0,286,9006,0,0,0,4,0,0,0,0,1822,0,6821,0,0,0,0,0,0,0,0,36,0,0,12,1994,8392,0,0,0,0,0,0,86,118,0,1,0
HMP2_J05389_1_ST_T0_B0_0120_ZOZOW1T-54ST_AAH7B,6254,0,0,0,0,0,797,0,0,0,0,0,16062,0,15,0,0,0,0,0,5,0,0,0,0,639,677,0,595,2,0,0,0,0,104,65,0,0,8,0,869,0,13,12,0,0,1,0,0,0,119,0,0,0,0,0,0,12020,0,1,0,0,0,0,0,2,0,0,0,0,12,0,0,2,8,0,0,829,5,2,0,0,0,0,0,0,0,1132,0,21927,0,0,0,0,0,0,0,4,10,0,0,23,271,640,103,0,0,0,1496,0,129,192,493,2,0
