Unnamed: 0;f__;f__Acetobacteraceae;f__Acidobacteriaceae;f__Actinomycetaceae;f__Aerococcaceae;f__Aeromonadaceae;f__Alcaligenaceae;f__Alicyclobacillaceae;f__Anaeroplasmataceae;f__Aquificaceae;f__BS11;f__Bacillaceae;f__Bacteroidaceae;f__Barnesiellaceae;f__Beijerinckiaceae;f__Bifidobacteriaceae;f__Brachyspiraceae;f__Bradyrhizobiaceae;f__Brevibacteriaceae;f__Brucellaceae;f__Burkholderiaceae;f__Campylobacteraceae;f__Cardiobacteriaceae;f__Carnobacteriaceae;f__Caulobacteraceae;f__Cerasicoccaceae;f__Chitinophagaceae;f__Christensenellaceae;f__Clostridiaceae;f__Comamonadaceae;f__Coriobacteriaceae;f__Corynebacteriaceae;f__Cytophagaceae;f__Dehalobacteriaceae;f__Deinococcaceae;f__Dermabacteraceae;f__Desulfovibrionaceae;f__Dethiosulfovibrionaceae;f__Dietziaceae;f__Ellin6075;f__Enterobacteriaceae;f__Enterococcaceae;f__Erysipelotrichaceae;f__Erythrobacteraceae;f__EtOH8;f__Eubacteriaceae;f__F16;f__Flavobacteriaceae;f__Fusobacteriaceae;f__Gemellaceae;f__Geodermatophilaceae;f__Gordoniaceae;f__Halanaerobiaceae;f__Halomonadaceae;f__Helicobacteraceae;f__Hyphomicrobiaceae;f__Iamiaceae;f__Intrasporangiaceae;f__Kineosporiaceae;f__Lachnospiraceae;f__Lactobacillaceae;f__Leptotrichiaceae;f__Leuconostocaceae;f__Listeriaceae;f__Methylobacteriaceae;f__Microbacteriaceae;f__Micrococcaceae;f__Mogibacteriaceae;f__Moraxellaceae;f__Neisseriaceae;f__Nitrospiraceae;f__Nocardiaceae;f__Nocardioidaceae;f__Odoribacteraceae;f__Oxalobacteraceae;f__Paenibacillaceae;f__Paraprevotellaceae;f__Pasteurellaceae;f__Peptococcaceae;f__Peptostreptococcaceae;f__Phyllobacteriaceae;f__Planococcaceae;f__Porphyromonadaceae;f__Prevotellaceae;f__Propionibacteriaceae;f__Pseudomonadaceae;f__Pseudonocardiaceae;f__RF16;f__Rhizobiaceae;f__Rhodobacteraceae;f__Rhodocyclaceae;f__Rhodospirillaceae;f__Rikenellaceae;f__Rs-045;f__Ruminococcaceae;f__S24-7;f__Shewanellaceae;f__Sinobacteraceae;f__Sphingobacteriaceae;f__Sphingomonadaceae;f__Spirochaetaceae;f__Sporichthyaceae;f__Staphylococcaceae;f__Streptococcaceae;f__Succinivibrionaceae;f__Synergistaceae;f__Tissierellaceae;f__Turicibacteraceae;f__Veillonellaceae;f__Verrucomicrobiaceae;f__Victivallaceae;f__Weeksellaceae;f__Xanthobacteraceae;f__Xanthomonadaceae;f__mitochondria
HMP2_J45093_1_ST_T0_B0_0120_ZW61YGW-06_APAJ2;0.03323174305474153;0.0;0.0;0.0;0.0;0.0;0.01248388231156957;0.0;0.0;0.0;0.0;0.0;0.6297034345328801;0.0;0.0;0.00017582932833196577;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.8609776110655256e-05;0.0;0.00035165865666393154;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0007033173133278631;0.0;0.00023443910444262102;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0004102684327745868;0.0;0.0;0.0;0.0;0.0;0.0;0.07736490446606493;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00011721955222131051;0.0;0.0;0.0;0.0;0.0;0.004454342984409799;0.0;0.0;0.0;0.0;0.0;0.00011721955222131051;0.0;0.0;0.07683741648106904;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.012425272535458914;0.0;0.14289063415777753;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.8609776110655256e-05;0.0;0.0;0.0;0.0;0.008381197983823701;0.0;0.0;0.0;0.0;0.0;0.0
HMP2_J45205_1_ST_T0_B0_0120_ZOZOW1T-4026-1_APATM;0.08796729966788726;0.0;0.0;8.515711487694797e-05;0.0;0.0;0.01175168185301882;0.0;0.0;0.0;0.0;0.0;0.2968577024610406;0.002810184790939283;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0083453972579409;0.025717448692838287;0.0;0.002895341905816231;0.0;0.0;8.515711487694797e-05;0.0;0.0;0.0005109426892616878;0.0002554713446308439;0.0;0.0;0.0;0.0;0.0009367282636464277;0.0;0.00017031422975389594;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0002554713446308439;0.0;0.0;0.0;0.0;0.0;0.0;0.18325811121519203;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0005960998041386358;0.0;0.0;0.0;0.0;0.0;0.004087541514093502;0.0;0.0;0.006557097845524993;0.0;8.515711487694797e-05;0.0;0.0;0.0;0.01388060972494252;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03823554457974964;0.0;0.2895341905816231;0.00042578557438473983;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00017031422975389594;0.0;0.0;0.0;0.0003406284595077919;0.009537596866218172;0.0;0.01464702375883505;0.0;0.0;0.0;0.0
HMP2_J43806_1_ST_T0_B0_0120_ZLZNCLZ-10_ANBEN;0.07609332864345175;0.0;0.0;0.00011724703951225231;0.0;0.0;0.031773947707820376;0.0;0.0;0.0;0.0;0.0;0.5294876304373315;0.01113846875366397;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00023449407902450463;0.008676280923906671;0.0;0.0015242115136592802;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00046898815804900925;0.0;0.01113846875366397;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005276116778051354;0.0;0.0;0.0;0.0;0.0;0.0;0.12967522570055107;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0014069644741470278;0.0;0.0;0.0;0.0;0.0;0.0007034822370735139;0.0;0.0;0.0;0.0;0.0;0.0065658342126861296;0.0;0.0;0.0177043029663501;0.00011724703951225231;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011959198030249736;0.0;0.14280689412592332;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0005862351975612616;0.0;0.0;0.00023449407902450463;0.003986399343416579;0.008324539805369914;0.0;0.0;0.0;0.0;0.0;0.0
HMP2_J79935_1_ST_T0_B0_0120_ZOBX723-05_B64B9;0.19422412039861706;0.0;0.0;5.08440105755542e-05;0.0;0.0;0.0003050640634533252;0.0;0.0;0.0;0.0;0.0;0.21476510067114093;0.003101484645108806;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.015304047183241814;0.0021354484441732766;0.0;0.02781167378482815;0.0;0.0;0.0;0.0;0.0;0.0002033760423022168;0.0;0.0;0.0;0.0002033760423022168;0.0;0.0024405125076266015;0.0;0.0003559080740288794;5.08440105755542e-05;0.0;0.0;0.0001525320317266626;0.0;0.0;0.0;0.0003559080740288794;0.0;0.0;0.0;0.0;0.0;0.0;0.08109619686800895;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0002033760423022168;0.0;0.0;0.0;0.0;0.0;0.0229814927801505;0.000254220052877771;0.0;0.0;0.0;0.0002033760423022168;0.0001016880211511084;0.0;0.0;0.030709782387634738;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04352247305267439;0.0;0.3367398820418955;0.020286760219646125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0003050640634533252;0.0;0.0001016880211511084;0.0;0.0008135041692088672;0.0009151921903599756;0.0;0.0003050640634533252;0.0;0.0;0.0;0.0
HMP2_J45549_1_ST_T0_B0_0120_ZN9YTFN-6025_APA62;0.02735376724874832;0.0;0.0;0.0;0.0;0.0;0.0030772988154841863;0.0;0.0;0.0;0.0;0.0;0.03521797533276346;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.4423006472096716e-05;0.0019294175112956405;0.0;0.0024178776407375747;0.0;0.0;0.0;0.0;0.0;0.0;4.884601294419343e-05;0.0;0.0;0.00021980705824887044;7.326901941629014e-05;0.0008792282329954818;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0005373061423861277;0.0;0.0;0.0;0.0;0.0;0.0;0.11205275369397973;2.4423006472096716e-05;0.0;0.0;0.0;0.0;0.0;2.4423006472096716e-05;0.000683844181218708;0.0;0.0;0.0;0.0;0.0;0.00029307607766516057;0.0;0.0;2.4423006472096716e-05;2.4423006472096716e-05;0.0;0.00019538405177677373;0.0;0.0;0.000341922090609354;0.5909390645988521;0.0;0.0;0.0;0.00012211503236048357;0.0;0.0;0.0;0.0;0.003785566003174991;0.0;0.18827695689339358;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0013432653559653192;0.0;0.0;7.326901941629014e-05;0.00019538405177677373;0.02982049090243009;0.0;0.0;0.0;0.0;0.0;0.0
HMP2_J45226_1_ST_T0_B0_0120_ZOZOW1T-6034A_APATM;0.1375722543352601;0.0;0.0;0.0;0.0;0.0;0.007745664739884393;0.0;0.0;0.0;0.0;0.0;0.33410404624277457;0.0027745664739884392;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00011560693641618497;0.0;0.0;0.0;0.0;0.0;0.007630057803468208;0.003005780346820809;0.0;0.0054335260115606935;0.0;0.0;0.0;0.0;0.0;0.0003468208092485549;0.0;0.0;0.0;0.00011560693641618497;0.0;0.0015028901734104045;0.0;0.00011560693641618497;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13086705202312138;0.0;0.0;0.0;0.0;0.0;0.0;0.00011560693641618497;0.00011560693641618497;0.0;0.0;0.0;0.0;0.0;0.004161849710982659;0.0003468208092485549;0.0;0.014450867052023121;0.0;0.0;0.0;0.0;0.0;0.012601156069364162;0.0003468208092485549;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02023121387283237;0.0;0.2868208092485549;0.00023121387283236994;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00011560693641618497;0.0;0.0;0.00046242774566473987;0.00023121387283236994;0.011213872832369942;0.0019653179190751444;0.015260115606936415;0.0;0.0;0.0;0.0
HMP2_J79794_1_ST_T0_B0_0120_ZUPAQVU-09_B64B9;0.019883550520853964;0.0;0.0;0.0;0.0;0.0;0.004356953301382342;0.0;0.0;0.0;0.0;0.0;0.6869331009624906;0.00011882599912860934;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002178476650691171;0.0;0.0013070859904147027;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.960866637620311e-05;0.0;0.0013466946567909058;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.960866637620311e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.09240701865568186;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.921733275240622e-05;0.0;0.0;0.0;0.0;0.0;0.0005545213292668436;0.0;0.0;0.0;0.00011882599912860934;0.0;0.0;0.0;0.0;0.009189210599279123;3.960866637620311e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03422188774903949;0.0;0.14441319760763655;3.960866637620311e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.921733275240622e-05;0.0;0.0;0.0;3.960866637620311e-05;0.00241612864894839;0.00019804333188101558;0.0;0.0;0.0;0.0;0.0
HMP2_J09111_1_ST_T0_B0_0122_ZKFV71L-05X_AAH7B;0.1334250610441456;0.0;0.0;0.0001937909383357234;1.9379093833572343e-05;0.0;0.01523196775318786;0.0;0.0;0.0;0.0;0.0;0.21541800705399017;0.001356536568350064;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.9379093833572343e-05;0.0;7.751637533428937e-05;0.0;0.0;0.0;0.006240068214410294;0.013216541994496338;1.9379093833572343e-05;0.007189643812255339;5.8137281500717026e-05;0.0;0.0;0.0;0.0;0.00044571915817216386;0.0;0.0;0.0;0.0001937909383357234;0.0;0.007480330219758924;0.0;0.0;0.0;0.0;0.0;0.0;7.751637533428937e-05;0.0;0.0;0.00029068640750358514;0.0;0.0;0.0;0.0;0.0;0.0;0.12206891205767219;0.0;0.0;1.9379093833572343e-05;0.0;0.0;1.9379093833572343e-05;3.8758187667144686e-05;0.0008720592225107554;1.9379093833572343e-05;0.0;0.0;0.0;0.0;0.003682027828378745;0.00048447734583930856;0.0;0.0;0.0006976473780086044;0.001182124723847913;1.9379093833572343e-05;0.0;0.0;0.016336576101701486;0.0;3.8758187667144686e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03433975427309019;0.0;0.30901903027014455;0.041820084492849116;0.0;0.0;0.0;0.0;0.0;0.0;1.9379093833572343e-05;0.003526995077710166;0.0;0.0;0.0;0.0002713073136700128;0.008507422192938258;0.05604433936669121;0.0;0.0;0.0;0.0;1.9379093833572343e-05
HMP2_J00827_1_ST_T0_B0_0120_ZN9YTFN-1012_AA31J;0.02886945527341692;0.0;0.0;2.634074386260668e-05;0.0;0.0;0.006690548941102097;0.0;0.0;0.0;0.0;0.0;0.13101885997260562;0.0;0.0;0.0002634074386260668;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0005794963649773469;0.009008534401011485;0.0;0.006084711832262143;2.634074386260668e-05;0.0;0.0;0.0;0.0;0.002528711410810241;0.0;0.0;0.0;0.0017121483510694343;0.0004741333895269202;0.0033452744705510483;0.0;0.00031608892635128015;0.0;0.0;0.0;0.00015804446317564007;2.634074386260668e-05;0.0;0.0;0.0018701928142450743;0.0;0.0;0.0;0.0;0.0;0.0;0.04973132441260141;0.0;0.0;0.0;0.0;0.0;0.0;0.00010536297545042672;0.0022653039721841745;0.0;0.0;0.0;0.0;0.0;0.0031082077757875882;0.0;0.0;0.0;0.0001317037193130334;2.634074386260668e-05;0.004240859761879675;0.0;0.0;0.00753345274470551;0.23722473922663576;0.0;0.0;0.0;0.00010536297545042672;0.0;0.0;0.0;0.0;0.04799283531766937;0.0;0.17967021388684015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0009482667790538404;0.0;0.0;2.634074386260668e-05;0.00031608892635128015;0.05252344326203772;0.22105152249499527;0.0;0.0;0.0;0.0;0.0
HMP2_J05389_1_ST_T0_B0_0120_ZOZOW1T-54ST_AAH7B;0.0954226426609704;0.0;0.0;0.0;0.0;0.0;0.012160512664021971;0.0;0.0;0.0;0.0;0.0;0.2450717119316448;0.02282575526396094;0.0;0.00022886786695148;0.0;0.0;0.0;0.0;0.0;7.628928898382667e-05;0.0;0.0;0.0;0.0;0.0;0.009749771132133048;0.010329569728410131;0.0;0.009078425389075374;3.0515715593530668e-05;0.0;0.0;0.0;0.0;0.0015868172108635947;0.0009917607567897467;0.0;0.0;0.00012206286237412267;0.0;0.013259078425389075;0.0;0.00019835215135794934;0.000183094293561184;0.0;0.0;1.5257857796765334e-05;0.0;0.0;0.0;0.0018156850778150747;0.0;0.0;0.0;0.0;0.0;0.0;0.18339945071711933;0.0;1.5257857796765334e-05;0.0;0.0;0.0;0.0;0.0;0.001968263655782728;3.0515715593530668e-05;0.0;0.0;0.0;0.0;0.002929508696978944;0.000183094293561184;0.0;0.00752212389380531;0.0;3.0515715593530668e-05;0.00012206286237412267;0.0;0.0;0.012648764113518462;7.628928898382667e-05;3.0515715593530668e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.017271895025938358;0.0;0.3345590479096735;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.1031431187061336e-05;0.00015257857796765334;0.0;0.0;3.0515715593530668e-05;0.0003509307293256027;0.0041348794629234055;0.009765028989929814;0.0015715593530668294;0.0;0.0;0.0;0.0
