Unnamed: 0,g__,g__02d06,g__1-68,g__Abiotrophia,g__Acetobacter,g__Acidaminococcus,g__Acidovorax,g__Acinetobacter,g__Actinobacillus,g__Actinomyces,g__Adlercreutzia,g__Aerococcus,g__Aggregatibacter,g__Agrobacterium,g__Akkermansia,g__Alicyclobacillus,g__Alistipes,g__Allobaculum,g__Alloiococcus,g__Anaerococcus,g__Anaerofustis,g__Anaerostipes,g__Anaerotruncus,g__Anoxybacillus,g__Arcobacter,g__Arthrobacter,g__Atopobium,g__Bacillus,g__Bacteroides,g__Balneimonas,g__Bifidobacterium,g__Bilophila,g__Blautia,g__Brachybacterium,g__Brachyspira,g__Brevibacterium,g__Brevundimonas,g__Brochothrix,g__Bulleidia,g__Burkholderia,g__Butyricicoccus,g__Butyricimonas,g__Butyrivibrio,g__Campylobacter,g__Capnocytophaga,g__Cardiobacterium,g__Carica,g__Carnobacterium,g__Catenibacterium,g__Catonella,g__Cetobacterium,g__Christensenella,g__Chryseobacterium,g__Citricoccus,g__Citrobacter,g__Citrullus,g__Cloacibacillus,g__Cloacibacterium,g__Clostridium,g__Collinsella,g__Comamonas,g__Coprobacillus,g__Coprococcus,g__Corynebacterium,g__Cupriavidus,g__Curtobacterium,g__Defluvibacter,g__Dehalobacterium,g__Deinococcus,g__Delftia,g__Dermabacter,g__Desulfovibrio,g__Devosia,g__Dialister,g__Dietzia,g__Dorea,g__Dyadobacter,g__Eggerthella,g__Eikenella,g__Enhydrobacter,g__Enterobacter,g__Enterococcus,g__Epulopiscium,g__Erwinia,g__Escherichia,g__Ethanoligenens,g__Facklamia,g__Faecalibacterium,g__Filifactor,g__Finegoldia,g__Flavobacterium,g__Friedmanniella,g__Frigoribacterium,g__Fusobacterium,g__Gallicola,g__Gardnerella,g__Gemella,g__Geobacillus,g__Gluconacetobacter,g__Gordonia,g__Granulicatella,g__Haemophilus,g__Halomonas,g__Helicobacter,g__Holdemania,g__Hydrogenophilus,g__Hyphomicrobium,g__Iamia,g__Janibacter,g__Janthinobacterium,g__Jeotgalicoccus,g__Kaistobacter,g__Kineococcus,g__Klebsiella,g__Kocuria,g__Lachnobacterium,g__Lachnospira,g__Lactobacillus,g__Lactococcus,g__Lautropia,g__Leptotrichia,g__Leuconostoc,g__Lupinus,g__Macrococcus,g__Marinilactibacillus,g__Megamonas,g__Megasphaera,g__Mesorhizobium,g__Methylobacterium,g__Micrococcus,g__Mogibacterium,g__Moraxella,g__Morganella,g__Moryella,g__Mycoplana,g__Neisseria,g__Nesterenkonia,g__Nitrospira,g__Novosphingobium,g__Ochrobactrum,g__Odoribacter,g__Oribacterium,g__Oscillospira,g__Oxalobacter,g__Paenibacillus,g__Parabacteroides,g__Paracoccus,g__Paraprevotella,g__Parvimonas,g__Pediococcus,g__Pedobacter,g__Peptococcus,g__Peptoniphilus,g__Peptostreptococcus,g__Phascolarctobacterium,g__Phenylobacterium,g__Phyllobacterium,g__Plesiomonas,g__Podophyllum,g__Porphyromonas,g__Prevotella,g__Propionibacterium,g__Proteus,g__Pseudochrobactrum,g__Pseudomonas,g__Pseudoramibacter_Eubacterium,g__Pseudoxanthomonas,g__Psychrobacter,g__Pyramidobacter,g__RFN20,g__Ralstonia,g__Raphanus,g__Rhodobacter,g__Rhodococcus,g__Rhodoplanes,g__Robinsoniella,g__Roseburia,g__Rothia,g__Ruminococcus,g__SMB53,g__Saccharopolyspora,g__Sarcina,g__Scardovia,g__Sediminibacterium,g__Segetibacter,g__Selenomonas,g__Serinicoccus,g__Serratia,g__Sharpea,g__Shewanella,g__Slackia,g__Sneathia,g__Sphingobacterium,g__Sphingobium,g__Sphingomonas,g__Sphingopyxis,g__Staphylococcus,g__Stenotrophomonas,g__Steroidobacter,g__Streptococcus,g__Succinatimonas,g__Sutterella,g__Synergistes,g__TG5,g__Tannerella,g__Tepidimonas,g__Thermoanaerobacterium,g__Thermomonas,g__Trabulsiella,g__Treponema,g__Turicibacter,g__Varibaculum,g__Veillonella,g__Victivallis,g__WAL_1855D,g__Weissella,g__Zea,g__cc_115,g__ph2,g__rc4-4,g__[Clostridium],g__[Eubacterium],g__[Prevotella],g__[Ruminococcus]
HMP2_J45093_1_ST_T0_B0_0120_ZW61YGW-06_APAJ2,2503,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10744,0,3,0,239,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,143,0,84,0,2,0,0,0,0,0,0,0,0,0,671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,260,0,0,1311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,0,303,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,106
HMP2_J45205_1_ST_T0_B0_0120_ZOZOW1T-4026-1_APATM,4016,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,2,0,0,0,0,3,6,0,0,0,0,0,3486,0,0,2,248,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,24,0,0,217,0,0,0,0,1,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,1735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,348,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,125,0,0,163,0,77,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,38,0,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,138,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,4,0,19
HMP2_J43806_1_ST_T0_B0_0120_ZLZNCLZ-10_ANBEN,2205,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,4516,0,0,0,323,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,60,0,30,0,0,0,0,0,0,0,0,0,0,0,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,71,0,0,151,0,0,0,0,0,0,2,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,83,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,271,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,1,0,13
HMP2_J79935_1_ST_T0_B0_0120_ZOBX723-05_B64B9,8164,0,0,0,0,2,0,0,0,1,3,0,0,0,0,0,19,0,0,0,1,16,4,0,0,0,0,0,4224,0,0,1,282,0,0,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,461,0,0,274,0,0,0,0,0,0,0,0,3,0,12,0,29,0,0,0,0,0,0,0,0,0,0,0,3874,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,124,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,149,5,0,604,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,767,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,2,0,0,0,0,0,0,0,16,0,0,6,0,0,0,3,0,0,0,3,0,11
HMP2_J45549_1_ST_T0_B0_0120_ZN9YTFN-6025_APA62,5050,0,0,0,0,57,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,41,0,0,0,0,0,0,1442,0,0,0,1701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,71,0,0,762,0,0,0,0,0,0,0,0,0,0,284,0,147,0,1,0,0,0,3,0,0,0,0,0,4732,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,225,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,152,0,0,14,0,0,2,0,0,0,0,0,865,0,0,0,0,0,24196,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,525,1,330,23,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,55,0,126,0,0,0,0,0,0,0,0,8,0,12,0,0,0,0,0,0,0,0,14,1,33
HMP2_J45226_1_ST_T0_B0_0120_ZOZOW1T-6034A_APATM,2858,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,9,2,0,0,0,0,0,2890,0,0,2,134,0,0,0,0,0,0,0,0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,46,0,0,389,0,0,0,0,0,0,0,0,0,0,5,0,87,0,0,0,0,0,0,0,0,0,0,0,1047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,303,3,0,109,0,125,0,0,0,0,0,0,87,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,1,217,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,67,0,0,0,0,0,0,0,0,2,0,5,0,3,0,0,0,1,0,0,0,0,5
HMP2_J79794_1_ST_T0_B0_0120_ZUPAQVU-09_B64B9,3457,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,17343,0,0,0,221,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,25,0,1,86,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,1292,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,133,0,0,232,0,0,0,0,0,0,0,0,56,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496,0,1407,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,110,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,21,0,14
HMP2_J09111_1_ST_T0_B0_0122_ZKFV71L-05X_AAH7B,22444,1,0,0,0,0,0,1,0,10,8,0,0,0,2892,0,10,0,1,0,0,22,2,0,0,0,0,0,11116,0,0,21,592,0,0,0,0,0,0,0,0,46,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,564,100,0,2,574,3,0,0,0,0,0,0,0,2,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,6421,0,0,0,0,0,0,0,0,1,0,1,0,4,36,0,0,1,0,0,0,0,0,0,0,0,0,0,82,578,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,589,25,0,843,0,0,0,0,0,58,0,0,205,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,2,2588,21,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,1,0,0,178,0,786,0,0,0,0,0,0,0,0,14,0,24,0,0,0,0,64,0,0,0,17,0,21
HMP2_J00827_1_ST_T0_B0_0120_ZN9YTFN-1012_AA31J,6815,0,0,0,0,0,0,0,0,1,13,0,0,0,8392,0,0,0,0,0,0,15,7,0,0,0,1,0,4974,0,10,96,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,98,107,0,0,291,1,0,0,0,0,0,0,0,0,0,13,0,99,0,6,0,0,0,18,0,0,0,0,0,3520,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,33,268,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,118,0,335,0,0,283,0,0,1,0,0,0,0,0,1966,0,0,0,0,3,9006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,4,260,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,254,0,0,0,0,0,0,0,0,12,0,14,0,0,0,0,0,0,0,0,46,0,14
HMP2_J05389_1_ST_T0_B0_0120_ZOZOW1T-54ST_AAH7B,25714,0,0,0,0,0,0,1,0,0,89,0,0,0,640,0,2,0,0,0,12,39,86,0,0,0,0,0,16062,0,15,37,2628,0,0,0,0,0,5,0,0,147,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,220,390,0,0,1014,2,0,0,0,0,0,0,0,22,0,0,0,238,0,1,0,0,0,0,0,0,0,0,0,7217,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,6,2743,0,6,0,1,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,45,0,960,12,0,829,0,492,1,0,0,0,0,0,269,0,0,0,0,0,5,2,0,0,0,0,0,0,65,0,0,0,0,0,0,0,746,0,3553,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,797,0,0,0,0,0,0,0,0,23,0,0,0,1,0,0,0,0,2,0,8,1,122
