Unnamed: 0;g__;g__02d06;g__1-68;g__Abiotrophia;g__Acetobacter;g__Acidaminococcus;g__Acidovorax;g__Acinetobacter;g__Actinobacillus;g__Actinomyces;g__Adlercreutzia;g__Aerococcus;g__Aggregatibacter;g__Agrobacterium;g__Akkermansia;g__Alicyclobacillus;g__Alistipes;g__Allobaculum;g__Alloiococcus;g__Anaerococcus;g__Anaerofustis;g__Anaerostipes;g__Anaerotruncus;g__Anoxybacillus;g__Arcobacter;g__Arthrobacter;g__Atopobium;g__Bacillus;g__Bacteroides;g__Balneimonas;g__Bifidobacterium;g__Bilophila;g__Blautia;g__Brachybacterium;g__Brachyspira;g__Brevibacterium;g__Brevundimonas;g__Brochothrix;g__Bulleidia;g__Burkholderia;g__Butyricicoccus;g__Butyricimonas;g__Butyrivibrio;g__Campylobacter;g__Capnocytophaga;g__Cardiobacterium;g__Carica;g__Carnobacterium;g__Catenibacterium;g__Catonella;g__Cetobacterium;g__Christensenella;g__Chryseobacterium;g__Citricoccus;g__Citrobacter;g__Citrullus;g__Cloacibacillus;g__Cloacibacterium;g__Clostridium;g__Collinsella;g__Comamonas;g__Coprobacillus;g__Coprococcus;g__Corynebacterium;g__Cupriavidus;g__Curtobacterium;g__Defluvibacter;g__Dehalobacterium;g__Deinococcus;g__Delftia;g__Dermabacter;g__Desulfovibrio;g__Devosia;g__Dialister;g__Dietzia;g__Dorea;g__Dyadobacter;g__Eggerthella;g__Eikenella;g__Enhydrobacter;g__Enterobacter;g__Enterococcus;g__Epulopiscium;g__Erwinia;g__Escherichia;g__Ethanoligenens;g__Eubacterium;g__Facklamia;g__Faecalibacterium;g__Filifactor;g__Finegoldia;g__Flavobacterium;g__Friedmanniella;g__Frigoribacterium;g__Fusobacterium;g__Gallicola;g__Gardnerella;g__Gemella;g__Geobacillus;g__Gluconacetobacter;g__Gordonia;g__Granulicatella;g__Haemophilus;g__Halomonas;g__Helicobacter;g__Holdemania;g__Hydrogenophilus;g__Hyphomicrobium;g__Iamia;g__Janibacter;g__Janthinobacterium;g__Jeotgalicoccus;g__Kaistobacter;g__Kineococcus;g__Klebsiella;g__Kocuria;g__Lachnobacterium;g__Lachnospira;g__Lactobacillus;g__Lactococcus;g__Lautropia;g__Leptotrichia;g__Leuconostoc;g__Lupinus;g__Macrococcus;g__Marinilactibacillus;g__Megamonas;g__Megasphaera;g__Mesorhizobium;g__Methylobacterium;g__Micrococcus;g__Mogibacterium;g__Moraxella;g__Morganella;g__Moryella;g__Mycoplana;g__Neisseria;g__Nesterenkonia;g__Nitrospira;g__Novosphingobium;g__Ochrobactrum;g__Odoribacter;g__Oribacterium;g__Oscillospira;g__Oxalobacter;g__Paenibacillus;g__Parabacteroides;g__Paracoccus;g__Paraprevotella;g__Parvimonas;g__Pediococcus;g__Pedobacter;g__Peptococcus;g__Peptoniphilus;g__Peptostreptococcus;g__Phascolarctobacterium;g__Phenylobacterium;g__Phyllobacterium;g__Plesiomonas;g__Podophyllum;g__Porphyromonas;g__Prevotella;g__Propionibacterium;g__Proteus;g__Pseudochrobactrum;g__Pseudomonas;g__Pseudoramibacter_Eubacterium;g__Pseudoxanthomonas;g__Psychrobacter;g__Pyramidobacter;g__RFN20;g__Ralstonia;g__Raphanus;g__Rhodobacter;g__Rhodococcus;g__Rhodoplanes;g__Robinsoniella;g__Roseburia;g__Rothia;g__Ruminococcus;g__SMB53;g__Saccharopolyspora;g__Sarcina;g__Scardovia;g__Sediminibacterium;g__Segetibacter;g__Selenomonas;g__Serinicoccus;g__Serratia;g__Sharpea;g__Shewanella;g__Slackia;g__Sneathia;g__Sphingobacterium;g__Sphingobium;g__Sphingomonas;g__Sphingopyxis;g__Staphylococcus;g__Stenotrophomonas;g__Steroidobacter;g__Streptococcus;g__Succinatimonas;g__Sutterella;g__Synergistes;g__TG5;g__Tannerella;g__Tepidimonas;g__Thermoanaerobacterium;g__Thermomonas;g__Trabulsiella;g__Treponema;g__Turicibacter;g__Varibaculum;g__Veillonella;g__Victivallis;g__WAL_1855D;g__Weissella;g__Zea;g__cc_115;g__ph2;g__rc4-4
HMP2_J45093_1_ST_T0_B0_0120_ZW61YGW-06_APAJ2;0.1467002696049701;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00023443910444262102;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6297034345328801;0.0;0.00017582932833196577;0.0;0.014007736490446607;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0038096354471925916;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0045129527605204545;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.008381197983823701;0.0;0.004923221193295042;0.0;0.00011721955222131051;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00017582932833196577;0.0;0.03932715977024968;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0002930488805532763;0.002578830148868831;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0006447075372172078;0.0;0.015238541788770366;0.0;0.0;0.07683741648106904;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.015766029773766264;0.0;0.023971398429258;5.8609776110655256e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.8609776110655256e-05;0.0;0.01248388231156957;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HMP2_J45205_1_ST_T0_B0_0120_ZOZOW1T-4026-1_APATM;0.34199097334582307;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.515711487694797e-05;0.0002554713446308439;0.0;0.0;0.0;0.0;0.0;0.00017031422975389594;0.0;0.0;0.0;0.0;0.0002554713446308439;0.0005109426892616878;0.0;0.0;0.0;0.0;0.0;0.2968577024610406;0.0;0.0;0.00017031422975389594;0.021118964489483097;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0030656561355701267;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.024014306395299327;0.002043770757046751;0.0;0.0;0.018479093928297708;0.0;0.0;0.0;0.0;8.515711487694797e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013284509920803883;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0003406284595077919;0.0;0.14774759431150472;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00545005535212467;0.029634675977177893;0.0;8.515711487694797e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0010218853785233756;8.515711487694797e-05;0.010644639359618496;0.0;0.0;0.01388060972494252;0.0;0.006557097845524993;0.0;0.0;0.0;0.0;0.0;0.0;0.009452439751341225;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0002554713446308439;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0032359703653240227;0.0;0.036958187856595416;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.515711487694797e-05;0.0;0.01175168185301882;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0003406284595077919;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.515711487694797e-05
HMP2_J43806_1_ST_T0_B0_0120_ZLZNCLZ-10_ANBEN;0.25852972212451636;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00011724703951225231;0.0005862351975612616;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00011724703951225231;0.0008207292765857662;0.0;0.0;0.0;0.0;0.0;0.5294876304373315;0.0;0.0;0.0;0.0378707937624575;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0005862351975612616;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.016062844413178567;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007034822370735139;0.0;0.0035174111853675696;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00011724703951225231;0.0;0.054519873373197324;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0023449407902450463;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00011724703951225231;0.0;0.008324539805369914;0.0;0.0;0.0177043029663501;0.0;0.0;0.0;0.0;0.0;0.0;0.00023449407902450463;0.0;0.0012897174346347756;0.0;0.0;0.0;0.0;0.0;0.00011724703951225231;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00809004572634541;0.0;0.011255715793176222;0.0048071286200023445;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0005862351975612616;0.0;0.031773947707820376;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.003986399343416579;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HMP2_J79935_1_ST_T0_B0_0120_ZOBX723-05_B64B9;0.4150905023388245;0.0;0.0;0.0;0.0;0.0001016880211511084;0.0;0.0;0.0;5.08440105755542e-05;0.0001525320317266626;0.0;0.0;0.0;0.0;0.0;0.0009660362009355298;0.0;0.0;0.0;5.08440105755542e-05;0.0008135041692088672;0.0002033760423022168;0.0;0.0;0.0;0.0;0.0;0.21476510067114093;0.0;0.0;5.08440105755542e-05;0.014338010982306285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010473866178564165;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0006101281269066504;0.023439088875330485;0.0;0.0;0.01393125889770185;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0001525320317266626;0.0;0.0006101281269066504;0.0;0.0014744763066910718;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0001525320317266626;0.0;0.19696969696969696;0.0;0.0;0.0;0.0;0.0;0.0001525320317266626;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0008643481797844214;0.006304657311368721;0.0;5.08440105755542e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.012507626601586334;0.0;0.007575757575757576;0.000254220052877771;0.0;0.030709782387634738;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0001016880211511084;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005186089078706529;0.0;0.039556640227781166;0.0004067520846044336;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000254220052877771;0.0;0.0003050640634533252;0.0001016880211511084;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0008135041692088672;0.0;0.0;0.0003050640634533252;0.0;0.0;0.0;0.0001525320317266626;0.0;0.0
HMP2_J45549_1_ST_T0_B0_0120_ZN9YTFN-6025_APA62;0.12333618268408841;0.0;0.0;0.0;0.0;0.0013921113689095127;0.0;0.0;0.0;0.0;4.884601294419343e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.4423006472096716e-05;0.0;0.0010013432653559653;0.0;0.0;0.0;0.0;0.0;0.0;0.03521797533276346;0.0;0.0;0.0;0.041543534009036515;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0004640371229698376;0.0017340334595188668;0.0;0.0;0.018610330931737695;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.006936133838075467;0.0;0.003590181951398217;0.0;2.4423006472096716e-05;0.0;0.0;0.0;7.326901941629014e-05;0.0;0.0;0.0;0.0;0.000341922090609354;0.0;0.11556966662596166;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.4423006472096716e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0004884601294419343;0.005495176456221761;2.4423006472096716e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00029307607766516057;0.0;0.0037122969837587007;0.0;0.0;0.000341922090609354;0.0;0.0;4.884601294419343e-05;0.0;0.0;0.0;0.0;0.0;0.02112590059836366;0.0;0.0;0.0;0.0;0.0;0.5909634876053242;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.884601294419343e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.012822078397850776;2.4423006472096716e-05;0.008865551349371108;0.0005617291488582244;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000341922090609354;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0013432653559653192;0.0;0.0030772988154841863;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00019538405177677373;0.0;0.00029307607766516057;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HMP2_J45226_1_ST_T0_B0_0120_ZOZOW1T-6034A_APATM;0.33040462427745665;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0019653179190751444;0.0;0.0;0.0;0.0;0.0;0.0;0.0010404624277456647;0.00023121387283236994;0.0;0.0;0.0;0.0;0.0;0.33410404624277457;0.0;0.0;0.00023121387283236994;0.015491329479768785;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.003468208092485549;0.0;0.00011560693641618497;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0010404624277456647;0.005317919075144509;0.0;0.0;0.04497109826589595;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0005780346820809249;0.0;0.010057803468208093;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.12104046242774566;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00011560693641618497;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013526011560693642;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0006936416184971098;0.0;0.03502890173410405;0.0003468208092485549;0.0;0.012601156069364162;0.0;0.014450867052023121;0.0;0.0;0.0;0.0;0.0;0.0;0.010057803468208093;0.0;0.0;0.0;0.0;0.0;0.0003468208092485549;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007745664739884393;0.00011560693641618497;0.025664739884393065;0.00011560693641618497;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00011560693641618497;0.0;0.007745664739884393;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00023121387283236994;0.0;0.0005780346820809249;0.0;0.0003468208092485549;0.0;0.0;0.0;0.00011560693641618497;0.0
HMP2_J79794_1_ST_T0_B0_0120_ZUPAQVU-09_B64B9;0.13692715966253416;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.921733275240622e-05;0.0;0.0;0.0;0.00019804333188101558;0.0;0.0;0.0;0.0;0.0;0.0;0.00011882599912860934;0.0;0.0;0.0;0.0;0.0;0.0;0.6869331009624906;0.0;0.0;0.0;0.008753515269140888;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00043569533013823424;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0005149126628906405;0.0009902166594050778;0.0;3.960866637620311e-05;0.0034063453083534676;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0008317819939002653;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0008317819939002653;0.0;0.051174396958054424;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00011882599912860934;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00015843466550481244;0.010694339921574841;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00011882599912860934;0.0;0.005267952628035014;0.0;0.0;0.009189210599279123;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0022180853170673744;0.0;0.0;0.0;0.0;0.0;3.960866637620311e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.019645898522596746;0.0;0.05628391492058463;0.000356477997385828;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.960866637620311e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.921733275240622e-05;0.0;0.004356953301382342;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.960866637620311e-05;0.0;0.00015843466550481244;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HMP2_J09111_1_ST_T0_B0_0122_ZKFV71L-05X_AAH7B;0.4349443820006976;1.9379093833572343e-05;0.0;0.0;0.0;0.0;0.0;1.9379093833572343e-05;0.0;0.0001937909383357234;0.00015503275066857875;0.0;0.0;0.0;0.05604433936669121;0.0;0.0001937909383357234;0.0;1.9379093833572343e-05;0.0;0.0;0.0004263400643385915;3.8758187667144686e-05;0.0;0.0;0.0;0.0;0.0;0.21541800705399017;0.0;0.0;0.00040696097050501917;0.011472423549474826;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0008914383163443277;0.0;1.9379093833572343e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.9379093833572343e-05;0.0;0.0;0.010929808922134802;0.0019379093833572342;0.0;3.8758187667144686e-05;0.011123599860470524;5.8137281500717026e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.8758187667144686e-05;0.0;0.0;0.0;0.0025774194798651217;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00032944459517072984;0.0;0.12443316150536801;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.9379093833572343e-05;0.0;1.9379093833572343e-05;0.0;7.751637533428937e-05;0.0006976473780086044;0.0;0.0;1.9379093833572343e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001589085694352932;0.011201116235804814;0.0;7.751637533428937e-05;0.0;0.0;1.9379093833572343e-05;0.0;0.0;0.0;0.0;1.9379093833572343e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0027905895120344175;0.0;0.011414286267974109;0.00048447734583930856;0.0;0.016336576101701486;0.0;0.0;0.0;0.0;0.0;0.0011239874423471959;0.0;0.0;0.00397271423588233;0.0;0.0;0.0;0.0;0.0;0.0;3.8758187667144686e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0061625518390760045;3.8758187667144686e-05;0.05056005581179024;0.00040696097050501917;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0005038564396728809;0.0;0.0;0.0;0.0;0.0;1.9379093833572343e-05;0.0;0.0;0.003449478702375877;0.0;0.01523196775318786;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0002713073136700128;0.0;0.0004650982520057362;0.0;0.0;0.0;0.0;0.00124026200534863;0.0;0.0
HMP2_J00827_1_ST_T0_B0_0120_ZN9YTFN-1012_AA31J;0.17951216942366452;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.634074386260668e-05;0.00034242967021388683;0.0;0.0;0.0;0.22105152249499527;0.0;0.0;0.0;0.0;0.0;0.0;0.0003951111579391002;0.00018438520703824675;0.0;0.0;0.0;2.634074386260668e-05;0.0;0.13101885997260562;0.0;0.0002634074386260668;0.002528711410810241;0.012169423664524287;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.634074386260668e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0025813928985354544;0.002818459593298915;0.0;0.0;0.007665156464018544;2.634074386260668e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00034242967021388683;0.0;0.0026077336423980615;0.0;0.00015804446317564007;0.0;0.0;0.0;0.0004741333895269202;0.0;0.0;0.0;0.0;0.0012116742176799073;0.0;0.09271941839637551;0.0;0.0;0.0;0.0;0.0;0.00015804446317564007;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0001317037193130334;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0008692445474660205;0.00705931935517859;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.634074386260668e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0031082077757875882;0.0;0.008824149193973238;0.0;0.0;0.0074544305131176904;0.0;0.0;2.634074386260668e-05;0.0;0.0;0.0;0.0;0.0;0.051785902433884735;0.0;0.0;0.0;0.0;7.902223158782004e-05;0.23722473922663576;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00611105257612475;0.00010536297545042672;0.00721736381835423;0.0033452744705510483;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0009482667790538404;0.0;0.006690548941102097;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00031608892635128015;0.0;0.0003687704140764935;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HMP2_J05389_1_ST_T0_B0_0120_ZOZOW1T-54ST_AAH7B;0.3923405553860238;0.0;0.0;0.0;0.0;0.0;0.0;1.5257857796765334e-05;0.0;0.0;0.0013579493439121147;0.0;0.0;0.0;0.009765028989929814;0.0;3.0515715593530668e-05;0.0;0.0;0.0;0.000183094293561184;0.000595056454073848;0.0013121757705218187;0.0;0.0;0.0;0.0;0.0;0.2450717119316448;0.0;0.00022886786695148;0.0005645407384803174;0.0400976502898993;0.0;0.0;0.0;0.0;0.0;7.628928898382667e-05;0.0;0.0;0.002242905096124504;0.0;7.628928898382667e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.1031431187061336e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0033567287152883735;0.00595056454073848;0.0;0.0;0.015471467805920049;3.0515715593530668e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00033567287152883735;0.0;0.0;0.0;0.0036313701556301495;0.0;1.5257857796765334e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00012206286237412267;0.0;0.11011595971925542;0.0;0.0;0.0;0.0;0.0;1.5257857796765334e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00010680500457735734;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.1547146780592e-05;0.041852303936527314;0.0;9.1547146780592e-05;0.0;1.5257857796765334e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00012206286237412267;1.5257857796765334e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00068660360085444;0.0;0.01464754348489472;0.000183094293561184;0.0;0.012648764113518462;0.0;0.007506866036008544;1.5257857796765334e-05;0.0;0.0;0.0;0.0;0.0;0.004104363747329875;0.0;0.0;0.0;0.0;0.0;9.1547146780592e-05;3.0515715593530668e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0009917607567897467;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011382361916386939;0.0;0.056072627403112606;0.003600854440036619;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.1031431187061336e-05;0.0;0.0;6.1031431187061336e-05;0.0;0.012160512664021971;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0003509307293256027;0.0;0.0;0.0;1.5257857796765334e-05;0.0;0.0;0.0;0.0;3.0515715593530668e-05
