Unnamed: 0,o__,o__Acidimicrobiales,o__Acidobacteriales,o__Actinomycetales,o__Aeromonadales,o__Alteromonadales,o__Anaeroplasmatales,o__Aquificales,o__Bacillales,o__Bacteroidales,o__Bifidobacteriales,o__Burkholderiales,o__CW040,o__Campylobacterales,o__Cardiobacteriales,o__Caulobacterales,o__Chlorophyta,o__Clostridiales,o__Coriobacteriales,o__Cytophagales,o__Deinococcales,o__Desulfovibrionales,o__EW055,o__Enterobacteriales,o__Erysipelotrichales,o__Flavobacteriales,o__Fusobacteriales,o__Gemellales,o__Halanaerobiales,o__I025,o__IS-44,o__Lactobacillales,o__ML615J-28,o__MLE1-12,o__Neisseriales,o__Nitrospirales,o__Oceanospirillales,o__Pasteurellales,o__Pseudomonadales,o__RB41,o__RF32,o__RF39,o__Rhizobiales,o__Rhodobacterales,o__Rhodocyclales,o__Rhodospirillales,o__Rickettsiales,o__SC-I-84,o__SHA-98,o__Sphingobacteriales,o__Sphingomonadales,o__Spirochaetales,o__Streptophyta,o__Synergistales,o__Turicibacterales,o__Verrucomicrobiales,o__Victivallales,o__WD2101,o__Xanthomonadales,o__YS2,o__[Brachyspirales],o__[Cerasicoccales],o__[Saprospirales]
HMP2_J45093_1_ST_T0_B0_0120_ZW61YGW-06_APAJ2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12343.0,3.0,213.0,0.0,0.0,0.0,0.0,0.0,4473.0,6.0,0.0,0.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMP2_J45205_1_ST_T0_B0_0120_ZOZOW1T-4026-1_APATM,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4261.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,6838.0,34.0,0.0,0.0,6.0,0.0,0.0,11.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0
HMP2_J43806_1_ST_T0_B0_0120_ZLZNCLZ-10_ANBEN,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4871.0,0.0,271.0,0.0,0.0,0.0,0.0,0.0,3190.0,13.0,0.0,0.0,0.0,0.0,4.0,95.0,0.0,0.0,0.0,45.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMP2_J79935_1_ST_T0_B0_0120_ZOBX723-05_B64B9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6596.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,12411.0,547.0,0.0,0.0,4.0,0.0,4.0,48.0,0.0,3.0,0.0,7.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,16.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
HMP2_J45549_1_ST_T0_B0_0120_ZN9YTFN-6025_APA62,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,25825.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,14757.0,99.0,0.0,0.0,0.0,0.0,9.0,36.0,0.0,0.0,0.0,22.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMP2_J45226_1_ST_T0_B0_0120_ZOZOW1T-6034A_APATM,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3364.0,0.0,70.0,0.0,1.0,0.0,0.0,0.0,4511.0,47.0,0.0,0.0,3.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,132.0,0.0,0.0,317.0,0.0,0.0,0.0
HMP2_J79794_1_ST_T0_B0_0120_ZUPAQVU-09_B64B9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18458.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,6597.0,33.0,0.0,0.0,0.0,0.0,1.0,34.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMP2_J09111_1_ST_T0_B0_0122_ZKFV71L-05X_AAH7B,6.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0,16149.0,0.0,812.0,0.0,1.0,0.0,0.0,0.0,27127.0,371.0,0.0,0.0,23.0,0.0,10.0,386.0,0.0,0.0,4.0,15.0,0.0,0.0,188.0,277.0,0.0,0.0,0.0,0.0,36.0,1.0,0.0,2665.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,23.0,0.0,14.0,2892.0,0.0,0.0,0.0,566.0,0.0,0.0,0.0
HMP2_J00827_1_ST_T0_B0_0120_ZN9YTFN-1012_AA31J,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,16210.0,10.0,254.0,0.0,0.0,0.0,0.0,0.0,12407.0,231.0,0.0,0.0,96.0,0.0,65.0,127.0,0.0,6.0,1.0,71.0,0.0,0.0,54.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,6.0,0.0,12.0,8392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMP2_J05389_1_ST_T0_B0_0120_ZOZOW1T-54ST_AAH7B,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,4.0,20209.0,15.0,809.0,0.0,5.0,0.0,0.0,0.0,40914.0,595.0,0.0,0.0,104.0,0.0,8.0,869.0,0.0,2.0,0.0,119.0,0.0,0.0,10.0,643.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,81.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,65.0,23.0,640.0,103.0,0.0,0.0,296.0,0.0,0.0,0.0
