Unnamed: 0;o__;o__Acidimicrobiales;o__Acidobacteriales;o__Actinomycetales;o__Aeromonadales;o__Alteromonadales;o__Anaeroplasmatales;o__Aquificales;o__Bacillales;o__Bacteroidales;o__Bifidobacteriales;o__Brachyspirales;o__Burkholderiales;o__CW040;o__Campylobacterales;o__Cardiobacteriales;o__Caulobacterales;o__Cerasicoccales;o__Chlorophyta;o__Clostridiales;o__Coriobacteriales;o__Cytophagales;o__Deinococcales;o__Desulfovibrionales;o__EW055;o__Enterobacteriales;o__Erysipelotrichales;o__Flavobacteriales;o__Fusobacteriales;o__Gemellales;o__Halanaerobiales;o__I025;o__IS-44;o__Lactobacillales;o__ML615J-28;o__MLE1-12;o__Neisseriales;o__Nitrospirales;o__Oceanospirillales;o__Pasteurellales;o__Pseudomonadales;o__RB41;o__RF32;o__RF39;o__Rhizobiales;o__Rhodobacterales;o__Rhodocyclales;o__Rhodospirillales;o__Rickettsiales;o__SC-I-84;o__SHA-98;o__Saprospirales;o__Sphingobacteriales;o__Sphingomonadales;o__Spirochaetales;o__Streptophyta;o__Synergistales;o__Turicibacterales;o__Verrucomicrobiales;o__Victivallales;o__WD2101;o__Xanthomonadales;o__YS2
HMP2_J45093_1_ST_T0_B0_0120_ZW61YGW-06_APAJ2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7234204665338179;0.00017582932833196577;0.0;0.01248388231156957;0.0;0.0;0.0;0.0;0.0;0.0;0.262161528542961;0.00035165865666393154;0.0;0.0;0.0;0.0;0.0007033173133278631;0.00023443910444262102;0.0;0.0;0.0;0.0004102684327745868;0.0;0.0;5.8609776110655256e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HMP2_J45205_1_ST_T0_B0_0120_ZOZOW1T-4026-1_APATM;0.0;0.0;0.0;8.515711487694797e-05;0.0;0.0;0.0;0.0;0.0;0.3628544664906753;0.0;0.0;0.01175168185301882;0.0;0.0;0.0;0.0;0.0;0.0;0.5823043515285702;0.002895341905816231;0.0;0.0;0.0005109426892616878;0.0;0.0;0.0009367282636464277;0.0;0.0;0.0;0.0002554713446308439;0.0;0.0;0.00017031422975389594;0.008260240143063953;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.014391552414204208;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0002554713446308439;0.0;0.0;0.0;0.0;8.515711487694797e-05;0.0002554713446308439;0.0003406284595077919;0.0;0.01464702375883505;0.0;0.0;0.0
HMP2_J43806_1_ST_T0_B0_0120_ZLZNCLZ-10_ANBEN;0.0;0.0;0.0;0.00011724703951225231;0.0;0.0;0.0;0.0;0.0;0.571110329464181;0.0;0.0;0.031773947707820376;0.0;0.0;0.0;0.0;0.0;0.0;0.3740180560440849;0.0015242115136592802;0.0;0.0;0.0;0.0;0.00046898815804900925;0.01113846875366397;0.0;0.0;0.0;0.005276116778051354;0.0;0.0;0.0005862351975612616;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.003986399343416579;0.0;0.0;0.0;0.0;0.0
HMP2_J79935_1_ST_T0_B0_0120_ZOBX723-05_B64B9;0.0;0.0;0.0;5.08440105755542e-05;0.0;0.0;0.0;0.0;0.0;0.3353670937563555;0.0;0.0;0.0005592841163310962;0.0;0.0;0.0;0.0;0.0;0.0;0.6310250152532032;0.02781167378482815;0.0;0.0;0.0002033760423022168;0.0;0.0002033760423022168;0.0024405125076266015;0.0;0.0001525320317266626;0.0;0.0003559080740288794;0.0;0.0;0.0003050640634533252;5.08440105755542e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0001525320317266626;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0001016880211511084;0.0;0.0;0.0;0.0;0.0;0.0001016880211511084;0.0008135041692088672;0.0;0.0003050640634533252;0.0;0.0;0.0
HMP2_J45549_1_ST_T0_B0_0120_ZN9YTFN-6025_APA62;0.0;0.0;0.0;2.4423006472096716e-05;0.0;0.0;0.0;0.0;0.0;0.6307241421418976;0.0;0.0;0.0030772988154841863;0.0;0.0;0.0;0.0;0.0;0.0;0.36041030650873124;0.0024178776407375747;0.0;0.0;0.0;0.0;0.00021980705824887044;0.0008792282329954818;0.0;0.0;0.0;0.0005373061423861277;0.0;0.0;0.0014409573818537063;0.0;0.0;0.0;0.0;0.0;2.4423006472096716e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.884601294419343e-05;0.00019538405177677373;0.0;0.0;0.0;0.0;0.0
HMP2_J45226_1_ST_T0_B0_0120_ZOZOW1T-6034A_APATM;0.0;0.0;0.0;0.00011560693641618497;0.0;0.0;0.0;0.0;0.0;0.38890173410404627;0.0;0.0;0.008092485549132947;0.0;0.00011560693641618497;0.0;0.0;0.0;0.0;0.5215028901734104;0.0054335260115606935;0.0;0.0;0.0003468208092485549;0.0;0.00011560693641618497;0.0015028901734104045;0.0;0.0;0.0;0.0;0.0;0.0;0.00011560693641618497;0.007976878612716762;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011329479768786127;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0003468208092485549;0.0;0.0;0.0;0.0;0.0;0.0;0.00023121387283236994;0.0019653179190751444;0.015260115606936415;0.0;0.0;0.03664739884393064
HMP2_J79794_1_ST_T0_B0_0120_ZUPAQVU-09_B64B9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7310967639719571;0.0;0.0;0.004356953301382342;0.0;0.0;0.0;0.0;0.0;0.0;0.26129837208381196;0.0013070859904147027;0.0;0.0;0.0;0.0;3.960866637620311e-05;0.0013466946567909058;0.0;0.0;0.0;3.960866637620311e-05;0.0;0.0;7.921733275240622e-05;0.0;0.0;0.0;0.0;0.0;0.00011882599912860934;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.921733275240622e-05;0.0;3.960866637620311e-05;0.00019804333188101558;0.0;0.0;0.0;0.0
HMP2_J09111_1_ST_T0_B0_0122_ZKFV71L-05X_AAH7B;0.00011627456300143405;0.0;0.0;0.00044571915817216386;0.0;0.0;0.0;0.0;1.9379093833572343e-05;0.31295298631835977;0.0;0.0;0.01573582419286074;0.0;1.9379093833572343e-05;0.0;0.0;0.0;0.0;0.5256966784233169;0.007189643812255339;0.0;0.0;0.00044571915817216386;0.0;0.0001937909383357234;0.007480330219758924;0.0;0.0;7.751637533428937e-05;0.00029068640750358514;0.0;0.0;0.0036432696407116003;0.005368008991899539;0.0;0.0;0.0;0.0;0.0006976473780086044;1.9379093833572343e-05;0.0;0.051645285066470294;0.0;0.0;0.0;0.0;0.0;1.9379093833572343e-05;0.0;0.00021317003216929576;0.0;0.0;0.0;0.0;0.00044571915817216386;0.0;0.0002713073136700128;0.05604433936669121;0.0;0.0;0.0;0.010968567109801946
HMP2_J00827_1_ST_T0_B0_0120_ZN9YTFN-1012_AA31J;0.0;0.0;0.0;0.00015804446317564007;0.0;0.0;0.0;0.0;0.0;0.42698345801285426;0.0002634074386260668;0.0;0.006690548941102097;0.0;0.0;0.0;0.0;0.0;0.0;0.3268096091033611;0.006084711832262143;0.0;0.0;0.002528711410810241;0.0;0.0017121483510694343;0.0033452744705510483;0.0;0.00015804446317564007;2.634074386260668e-05;0.0018701928142450743;0.0;0.0;0.0014224001685807608;2.634074386260668e-05;0.0;0.0;0.0;0.0;0.0001317037193130334;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0002634074386260668;0.0;0.0;0.0;0.0;0.00015804446317564007;0.0;0.00031608892635128015;0.22105152249499527;0.0;0.0;0.0;0.0
HMP2_J05389_1_ST_T0_B0_0120_ZOZOW1T-54ST_AAH7B;1.5257857796765334e-05;0.0;0.0;0.000137320720170888;0.0;0.0;0.0;0.0;6.1031431187061336e-05;0.30834604821483064;0.00022886786695148;0.0;0.012343606957583155;0.0;7.628928898382667e-05;0.0;0.0;0.0;0.0;0.6242599938968569;0.009078425389075374;0.0;0.0;0.0015868172108635947;0.0;0.00012206286237412267;0.013259078425389075;0.0;3.0515715593530668e-05;0.0;0.0018156850778150747;0.0;0.0;0.00015257857796765334;0.00981080256332011;0.0;0.0;0.0;0.0;0.0;3.0515715593530668e-05;0.0;0.001235886481537992;0.00010680500457735734;0.0;0.0;0.0;0.0;0.0;0.0;0.00010680500457735734;0.0;0.0;0.0;0.0;0.0;0.0009917607567897467;0.0003509307293256027;0.009765028989929814;0.0015715593530668294;0.0;0.0;0.004516325907842539
